"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"5";"10";"3.96";"4.05";"0.3"
"1";"hc";"aic";"5";"32";"4.11";"4.2";"0.31"
"1";"hc";"bic";"5";"142";"4.42";"4.55";"0.41"
"1";"hc";"bds";"4.2";"300";"3.87";"3.95";"0.29"
"1";"tabu";"k2";"5";"11";"4";"4.1";"0.27"
"1";"tabu";"aic";"5";"28";"4.1";"4.2";"0.33"
"1";"tabu";"bic";"5";"109";"4.06";"4.15";"0.32"
"1";"tabu";"bds";"4.2";"300";"4.05";"4.15";"0.33"
"2";"hc";"k2";"5";"14";"4";"4.05";"0.26"
"2";"hc";"aic";"5";"34";"4";"4.1";"0.34"
"2";"hc";"bic";"5";"249";"4.37";"4.5";"0.42"
"2";"hc";"bds";"5";"298";"4.1";"4.2";"0.34"
"2";"tabu";"k2";"5";"13";"3.98";"4.05";"0.32"
"2";"tabu";"aic";"5";"30";"4.1";"4.2";"0.34"
"2";"tabu";"bic";"4.2";"300";"4.1";"4.2";"0.32"
"2";"tabu";"bds";"5";"250";"3.99";"4.05";"0.28"
"3";"hc";"k2";"5";"17";"3.97";"4.05";"0.27"
"3";"hc";"aic";"5";"60";"4.01";"4.1";"0.3"
"3";"hc";"bic";"4.2";"300";"4.1";"4.2";"0.34"
"3";"hc";"bds";"5";"209";"4.04";"4.1";"0.3"
"3";"tabu";"k2";"5";"27";"4.05";"4.15";"0.32"
"3";"tabu";"aic";"5";"31";"4.07";"4";"0.37"
"3";"tabu";"bic";"5";"82";"4.11";"4.2";"0.31"
"3";"tabu";"bds";"5";"249";"4.61";"4.8";"0.55"
"4";"hc";"k2";"5";"20";"4";"4.1";"0.33"
"4";"hc";"aic";"5";"42";"4.01";"4.1";"0.3"
"4";"hc";"bic";"4.2";"300";"4.1";"4.2";"0.33"
"4";"hc";"bds";"5";"208";"4.03";"4.1";"0.3"
"4";"tabu";"k2";"5";"18";"4.02";"4.1";"0.28"
"4";"tabu";"aic";"5";"29";"4.09";"4.2";"0.33"
"4";"tabu";"bic";"5";"266";"4.46";"4.6";"0.45"
"4";"tabu";"bds";"4.2";"300";"3.87";"3.95";"0.27"
"5";"hc";"k2";"5";"14";"4.05";"4.15";"0.33"
"5";"hc";"aic";"5";"22";"4.1";"4.2";"0.34"
"5";"hc";"bic";"4.2";"300";"4.1";"4.2";"0.32"
"5";"hc";"bds";"5";"182";"4.1";"4.2";"0.33"
"5";"tabu";"k2";"5";"14";"4.1";"4.2";"0.3"
"5";"tabu";"aic";"5";"21";"4.06";"4.15";"0.31"
"5";"tabu";"bic";"4.2";"300";"4.11";"4.2";"0.32"
"5";"tabu";"bds";"4.2";"300";"3.86";"3.95";"0.3"
"6";"hc";"k2";"5";"8";"3.91";"3.95";"0.25"
"6";"hc";"aic";"5";"34";"3.97";"4.05";"0.29"
"6";"hc";"bic";"4.4";"300";"4.29";"4.4";"0.37"
"6";"hc";"bds";"5";"226";"4.08";"4.15";"0.33"
"6";"tabu";"k2";"5";"12";"3.93";"4";"0.29"
"6";"tabu";"aic";"5";"31";"4";"4.1";"0.34"
"6";"tabu";"bic";"4.6";"300";"4.31";"4.4";"0.38"
"6";"tabu";"bds";"4.2";"300";"3.87";"3.95";"0.28"
"7";"hc";"k2";"5";"11";"4";"4.1";"0.29"
"7";"hc";"aic";"5";"23";"4";"4.1";"0.32"
"7";"hc";"bic";"5";"154";"4.28";"4.4";"0.38"
"7";"hc";"bds";"4.2";"300";"3.9";"3.95";"0.27"
"7";"tabu";"k2";"5";"18";"4.02";"4.1";"0.29"
"7";"tabu";"aic";"5";"30";"4.11";"4.2";"0.32"
"7";"tabu";"bic";"4.2";"300";"4.11";"4.2";"0.31"
"7";"tabu";"bds";"5";"255";"4.08";"4.15";"0.33"
"8";"hc";"k2";"5";"15";"3.92";"4";"0.3"
"8";"hc";"aic";"5";"34";"4.01";"4.1";"0.33"
"8";"hc";"bic";"4.2";"300";"4.11";"4.2";"0.31"
"8";"hc";"bds";"5";"176";"4.11";"4.2";"0.33"
"8";"tabu";"k2";"5";"19";"4";"4.1";"0.32"
"8";"tabu";"aic";"5";"48";"4.05";"4.15";"0.33"
"8";"tabu";"bic";"4.2";"300";"4.1";"4.2";"0.32"
"8";"tabu";"bds";"5";"246";"4.24";"4.35";"0.37"
"9";"hc";"k2";"5";"17";"3.97";"4.05";"0.28"
"9";"hc";"aic";"5";"48";"4.01";"4.1";"0.31"
"9";"hc";"bic";"4.2";"300";"4.11";"4.2";"0.32"
"9";"hc";"bds";"4.15";"300";"3.88";"3.95";"0.27"
"9";"tabu";"k2";"5";"13";"3.93";"4";"0.29"
"9";"tabu";"aic";"5";"44";"4.05";"4.15";"0.33"
"9";"tabu";"bic";"5";"109";"4.29";"4.4";"0.36"
"9";"tabu";"bds";"5";"144";"4.05";"4.15";"0.33"
"10";"hc";"k2";"5";"22";"3.93";"4";"0.25"
"10";"hc";"aic";"5";"28";"4.04";"4.1";"0.3"
"10";"hc";"bic";"5";"280";"4.25";"4.35";"0.38"
"10";"hc";"bds";"4.2";"300";"3.89";"3.95";"0.24"
"10";"tabu";"k2";"5";"17";"3.96";"4.05";"0.29"
"10";"tabu";"aic";"5";"34";"4.06";"4.15";"0.3"
"10";"tabu";"bic";"5";"295";"4.65";"4.8";"0.48"
"10";"tabu";"bds";"4.15";"300";"3.87";"3.95";"0.3"
"11";"hc";"k2";"5";"10";"3.96";"4.05";"0.31"
"11";"hc";"aic";"5";"40";"4.11";"4.2";"0.31"
"11";"hc";"bic";"4.2";"300";"4.1";"4.2";"0.34"
