"mean";"median";"sd";"best";"worst";"score"
3.42;3.35;0.29;4.1;2.05;NA
3.52;3.55;0.27;4.1;1.75;NA
3.58;3.6;0.25;4.1;2;NA
3.63;3.6;0.24;4.1;2.05;NA
3.67;3.65;0.22;4.1;2.25;NA
3.7;3.75;0.23;4.1;2;NA
3.72;3.8;0.24;4.1;2.25;NA
3.74;3.8;0.22;4.1;2.55;NA
3.76;3.8;0.25;4.1;1.8;NA
3.79;3.85;0.22;4.1;1.8;NA
3.8;3.85;0.22;4.1;2.55;NA
3.81;3.85;0.24;4.1;2.3;NA
3.82;3.85;0.25;4.1;1.75;NA
3.83;3.9;0.22;4.1;2.3;NA
3.82;3.9;0.29;4.1;2;NA
3.84;3.9;0.26;4.1;2;NA
3.85;3.9;0.27;4.1;2;NA
3.88;3.95;0.24;4.1;2.5;NA
3.89;3.95;0.27;4.1;2;NA
3.92;3.95;0.27;4.1;2.5;NA
3.95;4;0.27;4.1;1.5;NA
3.96;4.1;0.33;4.1;1.5;NA
4;4.1;0.32;5;1.25;NA
