"mean";"median";"sd";"best";"worst";"score"
3.45;3.5;0.3;4.05;1.75;NA
3.53;3.55;0.28;4.05;2;NA
3.59;3.6;0.25;4.05;2;NA
3.64;3.6;0.23;4.05;2.25;NA
3.67;3.65;0.24;4.05;2.25;NA
3.69;3.75;0.26;4.05;2;NA
3.72;3.8;0.23;4.05;2.3;NA
3.75;3.8;0.23;4.05;2;NA
3.77;3.85;0.23;4.05;2.1;NA
3.79;3.85;0.21;4.05;2.5;NA
3.79;3.85;0.22;4.05;2.05;NA
3.79;3.85;0.24;4.05;2.3;NA
3.8;3.85;0.26;4.05;1.25;NA
3.8;3.85;0.25;4.05;2;NA
3.82;3.85;0.21;4.05;2.05;NA
3.81;3.85;0.23;4.05;2.3;NA
3.82;3.85;0.24;4.05;2;NA
3.82;3.9;0.23;4.05;2.3;NA
3.81;3.9;0.26;4.05;2.05;NA
3.83;3.9;0.22;4.15;2.5;NA
3.82;3.9;0.25;4.15;2.3;NA
3.84;3.9;0.21;4.15;2;NA
3.82;3.9;0.24;4.15;2.3;NA
3.83;3.9;0.24;4.15;2;NA
3.83;3.9;0.24;4.15;2.5;NA
3.83;3.9;0.25;4.15;1.75;NA
3.83;3.9;0.24;4.15;1.8;NA
3.84;3.9;0.25;4.15;2;NA
3.83;3.9;0.28;4.15;1.75;NA
3.84;3.9;0.26;4.15;2;NA
3.84;3.9;0.26;4.15;2.3;NA
3.85;3.9;0.24;4.15;2;NA
3.84;3.9;0.25;4.15;2.35;NA
3.84;3.9;0.26;4.15;2.05;NA
3.84;3.9;0.25;4.15;2.25;NA
3.85;3.9;0.25;4.15;2.25;NA
3.85;3.9;0.23;4.15;2.3;NA
3.85;3.9;0.23;4.15;2.25;NA
3.86;3.9;0.21;4.15;2.55;NA
3.85;3.9;0.25;4.15;2.5;NA
3.86;3.9;0.2;4.15;2.5;NA
3.86;3.9;0.22;4.15;2.55;NA
3.86;3.9;0.24;4.15;1.8;NA
3.86;3.9;0.25;4.15;2.3;NA
3.86;3.9;0.25;4.15;1.75;NA
3.86;3.9;0.24;4.15;1.75;NA
3.86;3.95;0.25;4.15;2;NA
3.87;3.95;0.22;4.15;2.5;NA
3.86;3.95;0.26;4.15;1.75;NA
3.86;3.95;0.24;4.15;2.3;NA
3.86;3.95;0.26;4.15;2;NA
3.85;3.95;0.29;4.15;1.75;NA
3.87;3.95;0.24;4.15;2.3;NA
3.87;3.95;0.24;4.15;2.5;NA
3.87;3.95;0.26;4.15;2;NA
3.87;3.95;0.25;4.15;2.25;NA
3.87;3.95;0.29;4.15;1.5;NA
3.87;3.95;0.25;4.15;2.35;NA
3.88;3.95;0.24;4.15;2.25;NA
3.88;3.95;0.23;4.15;2.5;NA
3.88;3.95;0.26;4.15;1.8;NA
3.87;3.95;0.28;4.15;1.75;NA
3.88;3.95;0.24;4.15;2.3;NA
3.89;3.95;0.24;4.25;1.25;NA
3.89;3.95;0.22;4.25;2.3;NA
3.89;3.95;0.25;4.25;2.25;NA
3.89;3.95;0.25;4.25;2.05;NA
3.88;3.95;0.29;4.25;2;NA
3.88;3.95;0.27;4.25;2.05;NA
3.87;3.95;0.29;4.25;2.05;NA
3.88;3.95;0.29;4.25;2;NA
3.89;3.95;0.26;4.25;2;NA
3.89;3.95;0.25;4.25;2.25;NA
3.9;3.95;0.22;4.25;2.3;NA
3.9;3.95;0.24;4.25;2.3;NA
3.89;3.95;0.24;4.25;2;NA
3.88;3.95;0.3;4.25;1.25;NA
3.88;3.95;0.29;4.25;2;NA
3.89;3.95;0.28;4.25;2.25;NA
3.89;3.95;0.26;4.25;1.75;NA
3.89;3.95;0.27;4.25;2;NA
3.89;3.95;0.27;4.25;2.1;NA
3.89;3.95;0.28;4.25;1.75;NA
3.9;3.95;0.24;4.25;2.25;NA
3.9;3.95;0.25;4.25;2.55;NA
3.91;3.95;0.25;4.25;2.25;NA
3.92;4;0.22;4.25;2.5;NA
3.91;4;0.27;4.25;2.25;NA
3.92;4;0.25;4.25;1.5;NA
3.91;4;0.26;4.25;2.3;NA
3.92;4;0.27;4.25;2.3;NA
3.93;4;0.24;4.25;2.3;NA
3.92;4;0.26;4.25;2.25;NA
3.92;4;0.31;4.25;1.25;NA
3.94;4;0.23;4.25;2.5;NA
3.93;4;0.24;4.25;2.25;NA
3.92;4;0.28;4.25;2;NA
3.94;4;0.24;4.25;2.25;NA
3.94;4;0.24;4.25;2.5;NA
3.93;4;0.26;4.25;2.5;NA
3.93;4;0.27;4.25;2.25;NA
3.94;4;0.26;4.25;2;NA
3.95;4;0.26;4.25;2.35;NA
3.94;4;0.32;4.25;2;NA
3.95;4;0.3;4.35;2;NA
3.97;4;0.27;4.35;2.5;NA
3.98;4.05;0.3;4.35;2.25;NA
4.01;4.1;0.29;4.35;2;NA
4.02;4.1;0.34;4.35;1.8;NA
4.05;4.15;0.29;4.35;2.5;NA
4.07;4.15;0.28;4.35;2.3;NA
4.07;4.15;0.31;4.4;2.25;NA
4.08;4.2;0.34;4.4;2.05;NA
4.09;4.2;0.34;4.4;2.25;NA
4.11;4.2;0.34;4.4;2.05;NA
4.13;4.2;0.33;4.4;2.05;NA
4.15;4.2;0.33;4.4;2.5;NA
4.18;4.2;0.33;4.4;2.5;NA
4.2;4.35;0.37;4.4;2.05;NA
4.23;4.35;0.39;4.4;1.75;NA
4.27;4.35;0.35;4.4;1.75;NA
4.26;4.4;0.4;4.4;2.25;NA
4.28;4.4;0.38;4.4;2.25;NA
4.27;4.4;0.41;4.4;2.25;NA
4.28;4.4;0.4;4.4;2;NA
4.29;4.4;0.36;4.4;2.5;NA
4.29;4.4;0.37;4.4;2;NA
4.28;4.4;0.4;4.4;2.25;NA
4.29;4.4;0.36;4.4;2.5;NA
4.28;4.4;0.38;4.4;2.25;NA
4.28;4.4;0.37;4.4;2.25;NA
4.29;4.4;0.36;4.4;2.05;NA
4.29;4.4;0.35;4.4;2.25;NA
4.28;4.4;0.39;4.4;2;NA
4.28;4.4;0.38;4.4;1.75;NA
4.29;4.4;0.36;4.4;2.25;NA
4.29;4.4;0.36;4.4;2.25;NA
4.28;4.4;0.38;4.4;2.25;NA
4.29;4.4;0.37;4.4;2.05;NA
4.28;4.4;0.38;4.4;1.75;NA
4.28;4.4;0.38;4.4;1.8;NA
4.28;4.4;0.39;4.4;2.1;NA
4.28;4.4;0.4;4.4;1.8;NA
4.27;4.4;0.41;4.4;2.25;NA
4.28;4.4;0.37;4.4;2.25;NA
4.28;4.4;0.4;4.4;1.55;NA
4.29;4.4;0.37;4.4;1.75;NA
4.29;4.4;0.36;4.4;1.75;NA
4.28;4.4;0.38;4.4;2;NA
4.28;4.4;0.39;4.4;2;NA
4.29;4.4;0.36;4.4;2.25;NA
4.28;4.4;0.4;4.4;2;NA
4.29;4.4;0.37;4.4;2;NA
4.28;4.4;0.39;4.4;2.25;NA
4.28;4.4;0.38;4.4;2.25;NA
4.27;4.4;0.41;4.4;1.5;NA
4.28;4.4;0.39;4.4;2.25;NA
4.28;4.4;0.4;4.4;2;NA
4.27;4.4;0.41;4.4;2;NA
4.3;4.4;0.33;4.4;2.5;NA
4.29;4.4;0.36;4.4;2.35;NA
4.27;4.4;0.4;4.4;2.05;NA
4.27;4.4;0.4;4.4;2;NA
4.28;4.4;0.39;4.4;1.8;NA
4.28;4.4;0.4;4.4;1.75;NA
4.27;4.4;0.4;4.4;2.05;NA
