"mean";"median";"sd";"best";"worst";"score"
3.44;3.4;0.27;4.15;2.5;NA
3.55;3.55;0.25;4.15;2.25;NA
3.64;3.6;0.23;4.15;2.25;NA
3.7;3.8;0.25;4.15;2.3;NA
3.77;3.85;0.2;4.15;2.75;NA
3.81;3.85;0.23;4.15;2.25;NA
3.83;3.9;0.23;4.15;2.25;NA
3.85;3.9;0.25;4.15;2.25;NA
3.86;3.9;0.28;4.15;2;NA
3.89;3.9;0.27;4.15;2;NA
3.92;3.95;0.26;4.15;2.55;NA
3.96;3.95;0.27;4.15;1.75;NA
4;4.15;0.28;4.15;1.8;NA
4.03;4.15;0.31;4.15;2.25;NA
4.05;4.15;0.34;4.15;1.75;NA
4.05;4.15;0.33;4.15;2.25;NA
4.05;4.15;0.33;4.15;1.5;NA
4.06;4.15;0.32;5;2.3;NA
