"mean";"median";"sd";"best";"worst";"score"
3.43;3.43;0.3;4.05;2.3;NA
3.53;3.55;0.27;4.05;2;NA
3.59;3.6;0.28;4.05;1.75;NA
3.65;3.6;0.24;4.05;2.3;NA
3.68;3.65;0.23;4.05;2.05;NA
3.7;3.75;0.24;4.05;2.05;NA
3.73;3.8;0.22;4.05;2.5;NA
3.74;3.8;0.25;4.05;1.75;NA
3.76;3.85;0.24;4.05;1.75;NA
3.77;3.85;0.27;4.05;1.25;NA
3.79;3.85;0.25;4.05;2.25;NA
3.79;3.85;0.24;4.05;2.25;NA
3.81;3.85;0.25;4.05;1.5;NA
3.82;3.85;0.22;4.05;2;NA
3.82;3.85;0.22;4.05;2.3;NA
3.84;3.9;0.2;4.05;2.05;NA
3.83;3.9;0.25;4.05;2.25;NA
3.82;3.9;0.29;4.05;1.75;NA
3.85;3.9;0.25;4.05;1.8;NA
3.85;3.9;0.25;4.1;2.3;NA
3.87;3.95;0.25;4.1;2.5;NA
3.87;3.95;0.29;4.1;2.5;NA
3.9;3.95;0.25;4.1;1.75;NA
3.91;4;0.27;4.1;2;NA
3.91;4;0.3;4.1;1.8;NA
3.93;4;0.27;4.1;1.75;NA
3.95;4;0.25;4.1;1.75;NA
3.96;4;0.27;4.1;2.25;NA
3.98;4.05;0.28;4.15;1.8;NA
3.99;4.1;0.3;4.15;2.3;NA
4;4.1;0.34;5;2;NA
