"mean";"median";"sd";"best";"worst";"score"
3.48;3.55;0.3;3.95;1.75;NA
3.59;3.6;0.27;3.95;2.05;NA
3.67;3.65;0.23;3.95;2.25;NA
3.72;3.8;0.26;3.95;1.5;NA
3.78;3.85;0.26;3.95;2.25;NA
3.83;3.9;0.23;3.95;2.05;NA
3.84;3.9;0.27;3.95;1.6;NA
3.86;3.95;0.24;4;2.25;NA
3.87;3.95;0.24;4;2;NA
3.88;3.95;0.27;4;1.5;NA
3.87;3.95;0.29;4;1.85;NA
3.88;3.95;0.26;4;2.1;NA
3.89;3.95;0.25;4;2.05;NA
3.88;3.95;0.27;4;2.3;NA
3.9;3.95;0.26;4;2;NA
3.89;4;0.3;4;2;NA
3.92;4;0.25;4;1.8;NA
3.93;4;0.25;4;2.05;NA
3.92;4;0.27;4;2;NA
3.92;4;0.28;4;2.25;NA
3.93;4;0.25;4;2.25;NA
3.93;4;0.24;4;2.5;NA
3.94;4;0.23;5;2.5;NA
