"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"5";"5";"4.93";"4.95";"0.11"
"1";"hc";"aic";"5";"25";"4.97";"5";"0.12"
"1";"hc";"bic";"5";"34";"4.97";"5";"0.14"
"1";"hc";"bds";"5";"38";"4.97";"5";"0.13"
"1";"tabu";"k2";"5";"4";"4.93";"4.94";"0.09"
"1";"tabu";"aic";"5";"26";"4.97";"5";"0.13"
"1";"tabu";"bic";"5";"25";"4.97";"5";"0.13"
"1";"tabu";"bds";"5";"26";"4.96";"5";"0.17"
"2";"hc";"k2";"5";"5";"4.93";"4.96";"0.14"
"2";"hc";"aic";"5";"24";"4.96";"5";"0.17"
"2";"hc";"bic";"5";"31";"4.97";"5";"0.14"
"2";"hc";"bds";"5";"26";"4.97";"5";"0.11"
"2";"tabu";"k2";"5";"16";"4.97";"5";"0.11"
"2";"tabu";"aic";"5";"28";"4.97";"5";"0.12"
"2";"tabu";"bic";"5";"29";"4.97";"5";"0.12"
"2";"tabu";"bds";"5";"31";"4.97";"5";"0.13"
"3";"hc";"k2";"5";"2";"4.88";"4.9";"0.13"
"3";"hc";"aic";"5";"32";"4.97";"5";"0.12"
"3";"hc";"bic";"5";"27";"4.97";"5";"0.12"
"3";"hc";"bds";"5";"22";"4.97";"5";"0.11"
"3";"tabu";"k2";"5";"24";"4.97";"5";"0.11"
"3";"tabu";"aic";"5";"25";"4.97";"5";"0.12"
"3";"tabu";"bic";"5";"26";"4.97";"5";"0.14"
"3";"tabu";"bds";"5";"22";"4.97";"5";"0.11"
"4";"hc";"k2";"5";"8";"4.95";"4.98";"0.13"
"4";"hc";"aic";"5";"23";"4.97";"5";"0.12"
"4";"hc";"bic";"5";"35";"4.97";"5";"0.13"
"4";"hc";"bds";"5";"18";"4.97";"5";"0.14"
"4";"tabu";"k2";"5";"20";"4.97";"5";"0.11"
"4";"tabu";"aic";"5";"32";"4.97";"5";"0.12"
"4";"tabu";"bic";"5";"37";"4.96";"5";"0.18"
"4";"tabu";"bds";"5";"22";"4.97";"5";"0.09"
"5";"hc";"k2";"5";"1";"4.84";"4.86";"0.09"
"5";"hc";"aic";"5";"21";"4.96";"5";"0.14"
"5";"hc";"bic";"5";"26";"4.97";"5";"0.11"
"5";"hc";"bds";"5";"58";"4.96";"5";"0.17"
"5";"tabu";"k2";"5";"4";"4.91";"4.94";"0.16"
"5";"tabu";"aic";"5";"26";"4.98";"5";"0.08"
"5";"tabu";"bic";"5";"23";"4.96";"5";"0.15"
"5";"tabu";"bds";"5";"27";"4.98";"5";"0.09"
"6";"hc";"k2";"5";"11";"4.96";"4.99";"0.14"
"6";"hc";"aic";"5";"30";"4.96";"5";"0.16"
