"mean";"median";"sd";"best";"worst";"score"
4.84;4.86;0.1;4.98;4.21;NA
4.88;4.89;0.09;4.99;3.8;NA
4.9;4.92;0.1;4.99;3.73;NA
4.92;4.93;0.1;4.99;3.82;NA
4.92;4.95;0.12;5;3.72;NA
4.94;4.96;0.13;5;2.9;NA
4.94;4.97;0.12;5;3.6;NA
4.95;4.97;0.13;5;3.56;NA
4.96;4.98;0.1;5;3.94;NA
4.96;4.99;0.11;5;3.81;NA
4.97;4.99;0.09;5;4.35;NA
4.97;4.99;0.11;5;3.79;NA
4.97;4.99;0.12;5;3.81;NA
4.97;5;0.12;5;3.78;NA
4.97;5;0.13;5;3.83;NA
4.97;5;0.13;5;3.68;NA
4.97;5;0.12;5;3.79;NA
4.96;5;0.14;5;3.49;NA
4.97;5;0.13;5;3.25;NA
4.98;5;0.09;5;3.8;NA
4.96;5;0.14;5;3.48;NA
