"mean";"median";"sd";"best";"worst";"score"
4.83;4.85;0.11;4.99;3.88;NA
4.88;4.9;0.1;4.99;3.79;NA
4.91;4.92;0.1;4.99;3.88;NA
4.92;4.94;0.11;5;3.78;NA
4.93;4.95;0.11;5;3.83;NA
4.95;4.97;0.09;5;4.07;NA
4.95;4.98;0.14;5;3.57;NA
4.95;4.98;0.15;5;3.59;NA
4.96;4.99;0.13;5;3.69;NA
4.96;4.99;0.15;5;3.35;NA
4.96;4.99;0.11;5;3.78;NA
4.96;4.99;0.15;5;3.63;NA
4.97;5;0.13;5;3.89;NA
4.97;5;0.11;5;3.57;NA
4.97;5;0.12;5;3.81;NA
4.97;5;0.14;5;3.43;NA
4.97;5;0.13;5;3.83;NA
4.97;5;0.12;5;3.62;NA
4.97;5;0.13;5;3.55;NA
4.96;5;0.14;5;3.49;NA
4.97;5;0.12;5;3.75;NA
4.97;5;0.12;5;3.8;NA
4.97;5;0.11;5;3.94;NA
4.97;5;0.11;5;3.84;NA
4.98;5;0.08;5;4.31;NA
4.97;5;0.12;5;3.23;NA
4.97;5;0.1;5;3.97;NA
4.97;5;0.12;5;3.83;NA
4.97;5;0.11;5;3.81;NA
4.97;5;0.1;5;4.06;NA
