"mean";"median";"sd";"best";"worst";"score"
4.84;4.86;0.11;4.99;3.81;NA
4.88;4.91;0.09;4.99;3.83;NA
4.9;4.92;0.12;4.99;3.76;NA
4.92;4.94;0.09;4.99;3.75;NA
4.93;4.95;0.13;4.99;3.72;NA
4.94;4.96;0.11;4.99;3.44;NA
4.94;4.97;0.12;4.99;3.81;NA
4.96;4.98;0.1;5;3.89;NA
4.95;4.99;0.13;5;3.44;NA
4.95;4.99;0.14;5;3.62;NA
4.96;4.99;0.12;5;3.83;NA
4.96;4.99;0.11;5;3.7;NA
4.96;4.99;0.11;5;3.84;NA
4.96;4.99;0.14;5;3.49;NA
4.96;4.99;0.16;5;3.54;NA
4.97;5;0.09;5;3.85;NA
4.97;5;0.1;5;3.92;NA
4.97;5;0.13;5;3.88;NA
4.96;5;0.15;5;3.59;NA
