"mean";"median";"sd";"best";"worst";"score"
4.85;4.87;0.11;4.99;3.89;NA
4.89;4.91;0.1;4.99;3.98;NA
4.9;4.92;0.15;4.99;3.48;NA
4.92;4.94;0.12;4.99;3.49;NA
4.93;4.95;0.13;4.99;3.62;NA
4.94;4.96;0.1;5;3.96;NA
4.94;4.97;0.12;5;3.53;NA
4.94;4.97;0.14;5;3.6;NA
4.96;4.98;0.1;5;3.34;NA
4.96;4.98;0.1;5;3.79;NA
4.96;4.98;0.11;5;3.67;NA
4.95;4.99;0.17;5;2.45;NA
4.96;4.99;0.12;5;3.72;NA
4.96;4.99;0.15;5;3.23;NA
4.96;4.99;0.13;5;3.47;NA
4.97;4.99;0.11;5;3.93;NA
4.96;4.99;0.15;5;3.56;NA
4.97;5;0.12;5;3.84;NA
4.97;5;0.11;5;4.08;NA
4.96;5;0.13;5;3.83;NA
4.97;5;0.1;5;4.12;NA
4.97;5;0.12;5;3.85;NA
4.96;5;0.14;5;3.81;NA
4.97;5;0.12;5;3.57;NA
4.97;5;0.12;5;3.62;NA
4.98;5;0.08;5;4.23;NA
4.97;5;0.09;5;4.16;NA
4.97;5;0.13;5;3.83;NA
