"mean";"median";"sd";"best";"worst";"score"
4.84;4.86;0.11;4.99;3.88;NA
4.87;4.9;0.12;4.99;3.6;NA
4.9;4.92;0.11;4.99;3.62;NA
4.92;4.94;0.11;4.99;3.82;NA
4.92;4.95;0.12;4.99;3.88;NA
4.94;4.96;0.11;5;3.88;NA
4.95;4.97;0.09;5;3.92;NA
4.95;4.98;0.11;5;3.58;NA
4.96;4.99;0.13;5;3.72;NA
4.96;4.99;0.12;5;3.57;NA
4.96;4.99;0.13;5;3.63;NA
4.97;4.99;0.09;5;3.88;NA
4.97;5;0.12;5;3.76;NA
4.96;5;0.16;5;2.86;NA
4.97;5;0.11;5;3.63;NA
4.97;5;0.13;5;3.47;NA
4.98;5;0.11;5;3.56;NA
4.97;5;0.11;5;3.94;NA
4.97;5;0.13;5;3.89;NA
4.97;5;0.11;5;3.44;NA
4.97;5;0.11;5;3.8;NA
4.97;5;0.11;5;3.9;NA
4.97;5;0.14;5;2.94;NA
4.97;5;0.1;5;3.86;NA
4.97;5;0.13;5;3.81;NA
