"mean";"median";"sd";"best";"worst";"score"
4.83;4.86;0.12;4.98;3.88;NA
4.87;4.9;0.15;4.99;3.47;NA
4.9;4.92;0.08;4.99;3.96;NA
4.91;4.93;0.11;4.99;3.86;NA
4.92;4.95;0.12;4.99;3.79;NA
4.94;4.96;0.08;4.99;3.93;NA
4.94;4.97;0.14;4.99;3.43;NA
4.94;4.98;0.15;4.99;3.8;NA
4.95;4.98;0.14;5;3.59;NA
4.96;4.98;0.12;5;3.25;NA
4.95;4.98;0.14;5;3.76;NA
4.96;4.99;0.1;5;4.1;NA
4.95;4.99;0.14;5;3.56;NA
4.96;4.99;0.14;5;3.56;NA
4.97;4.99;0.09;5;3.96;NA
4.96;4.99;0.12;5;3.69;NA
4.97;4.99;0.09;5;4.15;NA
4.97;4.99;0.11;5;3.59;NA
4.96;5;0.15;5;3.62;NA
4.96;5;0.15;5;3.56;NA
4.97;5;0.12;5;3.59;NA
4.97;5;0.13;5;3.6;NA
4.97;5;0.13;5;3.85;NA
4.96;5;0.15;5;3.59;NA
4.97;5;0.11;5;3.72;NA
4.97;5;0.14;5;3.46;NA
4.97;5;0.12;5;3.71;NA
4.97;5;0.12;5;3.51;NA
4.97;5;0.12;5;3.83;NA
4.97;5;0.09;5;4.16;NA
4.97;5;0.11;5;3.84;NA
4.97;5;0.11;5;3.68;NA
4.96;5;0.14;5;3.76;NA
4.97;5;0.12;5;3.76;NA
4.96;5;0.16;5;3.23;NA
4.97;5;0.1;5;3.81;NA
4.97;5;0.14;5;3.11;NA
