"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"5";"43";"1.92";"2";"0.79"
"1";"hc";"aic";"5";"50";"3.47";"4";"1.21"
"1";"hc";"bic";"5";"54";"2.93";"3";"1.06"
"1";"hc";"bds";"5";"66";"3.6";"4";"1.2"
"1";"tabu";"k2";"5";"23";"1.81";"2";"0.62"
"1";"tabu";"aic";"5";"90";"3.6";"4";"1.2"
"1";"tabu";"bic";"5";"59";"3.6";"4";"1.2"
"1";"tabu";"bds";"5";"50";"3.16";"3";"1.16"
"2";"hc";"k2";"5";"52";"2.7";"3";"0.91"
"2";"hc";"aic";"5";"167";"2.71";"3";"0.91"
"2";"hc";"bic";"4";"300";"3.6";"4";"1.2"
"2";"hc";"bds";"5";"42";"2.72";"3";"1.01"
"2";"tabu";"k2";"5";"33";"1.7";"2";"0.66"
"2";"tabu";"aic";"5";"75";"3.6";"4";"1.2"
"2";"tabu";"bic";"5";"55";"3.2";"3";"1.17"
"2";"tabu";"bds";"5";"59";"3.6";"4";"1.2"
"3";"hc";"k2";"5";"28";"2.42";"3";"0.93"
"3";"hc";"aic";"5";"45";"2.72";"3";"0.95"
"3";"hc";"bic";"5";"76";"3.6";"4";"1.2"
"3";"hc";"bds";"5";"50";"3.02";"3";"1.1"
"3";"tabu";"k2";"5";"32";"1.86";"2";"0.68"
"3";"tabu";"aic";"5";"25";"1.67";"2";"0.82"
"3";"tabu";"bic";"4";"300";"3.6";"4";"1.2"
"3";"tabu";"bds";"5";"53";"3.07";"3";"1.13"
"4";"hc";"k2";"5";"16";"0.23";"0";"0.63"
"4";"hc";"aic";"5";"38";"3.54";"4";"1.21"
"4";"hc";"bic";"5";"68";"2.66";"3";"1.02"
"4";"hc";"bds";"5";"69";"2.86";"3";"1.02"
"4";"tabu";"k2";"5";"45";"2";"2";"0.89"
"4";"tabu";"aic";"5";"65";"3.6";"4";"1.2"
"4";"tabu";"bic";"4";"300";"3.6";"4";"1.2"
"4";"tabu";"bds";"5";"72";"3.19";"3";"1.17"
"5";"hc";"k2";"5";"28";"1.81";"2";"0.62"
"5";"hc";"aic";"5";"89";"3.6";"4";"1.2"
"5";"hc";"bic";"5";"44";"2.46";"3";"1.06"
"5";"hc";"bds";"5";"64";"3.6";"4";"1.2"
"5";"tabu";"k2";"5";"25";"1.81";"2";"0.62"
"5";"tabu";"aic";"5";"31";"2.62";"3";"0.92"
"5";"tabu";"bic";"4";"300";"3.6";"4";"1.2"
"5";"tabu";"bds";"5";"80";"3.6";"4";"1.2"
"6";"hc";"k2";"5";"26";"1.65";"2";"0.69"
"6";"hc";"aic";"5";"44";"3.24";"4";"1.18"
"6";"hc";"bic";"4";"300";"3.6";"4";"1.2"
"6";"hc";"bds";"5";"52";"3.39";"4";"1.2"
"6";"tabu";"k2";"5";"83";"2.71";"3";"0.9"
"6";"tabu";"aic";"5";"31";"2.7";"3";"0.91"
"6";"tabu";"bic";"5";"52";"3.27";"4";"1.19"
"6";"tabu";"bds";"5";"100";"2.93";"3";"1.06"
"7";"hc";"k2";"5";"28";"0.97";"1";"0.5"
"7";"hc";"aic";"5";"68";"3.6";"4";"1.2"
"7";"hc";"bic";"5";"38";"2.72";"3";"0.92"
"7";"hc";"bds";"5";"57";"2.8";"3";"0.97"
"7";"tabu";"k2";"5";"27";"1.81";"2";"0.63"
"7";"tabu";"aic";"5";"81";"3.6";"4";"1.2"
"7";"tabu";"bic";"5";"51";"3.6";"4";"1.2"
"7";"tabu";"bds";"5";"48";"2.73";"3";"0.93"
"8";"hc";"k2";"5";"4";"0.03";"0";"0.28"
"8";"hc";"aic";"5";"38";"2.7";"3";"0.91"
"8";"hc";"bic";"5";"95";"3.6";"4";"1.2"
"8";"hc";"bds";"5";"59";"3.18";"3";"1.16"
"8";"tabu";"k2";"5";"24";"2.71";"3";"0.9"
"8";"tabu";"aic";"5";"40";"2.93";"3";"1.06"
"8";"tabu";"bic";"5";"61";"3.6";"4";"1.2"
"8";"tabu";"bds";"5";"50";"2.72";"3";"0.92"
"9";"hc";"k2";"5";"8";"0.06";"0";"0.32"
"9";"hc";"aic";"5";"39";"2.99";"3";"1.09"
"9";"hc";"bic";"5";"57";"3.05";"3";"1.12"
"9";"hc";"bds";"5";"47";"2.17";"2";"0.93"
"9";"tabu";"k2";"5";"34";"2.42";"3";"0.93"
"9";"tabu";"aic";"5";"32";"2.76";"3";"0.95"
"9";"tabu";"bic";"5";"284";"3.6";"4";"1.2"
"9";"tabu";"bds";"5";"67";"3.6";"4";"1.2"
"10";"hc";"k2";"5";"17";"0.94";"1";"0.45"
"10";"hc";"aic";"5";"39";"2.93";"3";"1.06"
"10";"hc";"bic";"5";"33";"2.11";"2";"0.92"
"10";"hc";"bds";"5";"96";"3.61";"4";"1.19"
"10";"tabu";"k2";"5";"36";"2.7";"3";"0.91"
"10";"tabu";"aic";"5";"50";"3.41";"4";"1.19"
"10";"tabu";"bic";"4";"300";"3.6";"4";"1.2"
"10";"tabu";"bds";"5";"129";"3.6";"4";"1.2"
"11";"hc";"k2";"5";"47";"1.81";"2";"0.62"
"11";"hc";"aic";"5";"39";"2.73";"3";"0.93"
"11";"hc";"bic";"5";"39";"1.82";"2";"0.94"
"11";"hc";"bds";"5";"42";"2.73";"3";"0.93"
"11";"tabu";"k2";"5";"40";"2.69";"3";"0.92"
"11";"tabu";"aic";"5";"60";"3.6";"4";"1.2"
"11";"tabu";"bic";"5";"189";"3.6";"4";"1.2"
"11";"tabu";"bds";"5";"82";"2.42";"3";"0.93"
"12";"hc";"k2";"5";"41";"1.81";"2";"0.61"
"12";"hc";"aic";"5";"59";"2.71";"3";"0.91"
"12";"hc";"bic";"5";"40";"2.03";"2";"0.82"
"12";"hc";"bds";"5";"64";"2.74";"3";"0.94"
"12";"tabu";"k2";"5";"47";"3.6";"4";"1.2"
"12";"tabu";"aic";"5";"55";"2.82";"3";"1"
"12";"tabu";"bic";"5";"233";"3.6";"4";"1.2"
"12";"tabu";"bds";"5";"69";"3.6";"4";"1.2"
"13";"hc";"k2";"5";"13";"0.05";"0";"0.32"
"13";"hc";"aic";"5";"73";"3.03";"3";"1.11"
"13";"hc";"bic";"5";"184";"3.61";"4";"1.2"
"13";"hc";"bds";"5";"68";"2.75";"3";"0.95"
"13";"tabu";"k2";"5";"67";"1.98";"2";"0.77"
"13";"tabu";"aic";"5";"42";"3.46";"4";"1.21"
"13";"tabu";"bic";"5";"83";"3.6";"4";"1.2"
"13";"tabu";"bds";"5";"50";"3.41";"4";"1.2"
"14";"hc";"k2";"5";"21";"2.81";"3";"0.99"
"14";"hc";"aic";"5";"61";"3.13";"3";"1.14"
"14";"hc";"bic";"5";"51";"2.8";"3";"0.98"
"14";"hc";"bds";"5";"75";"3.6";"4";"1.2"
"14";"tabu";"k2";"5";"34";"3.5";"4";"1.2"
"14";"tabu";"aic";"5";"53";"3.23";"4";"1.18"
"14";"tabu";"bic";"5";"43";"2.95";"3";"1.07"
"14";"tabu";"bds";"5";"71";"3.23";"4";"1.18"
"15";"hc";"k2";"5";"112";"1.81";"2";"0.61"
"15";"hc";"aic";"5";"73";"2.7";"3";"0.91"
"15";"hc";"bic";"5";"50";"2.93";"3";"1.07"
"15";"hc";"bds";"5";"102";"3.6";"4";"1.2"
"15";"tabu";"k2";"5";"22";"1.81";"2";"0.63"
"15";"tabu";"aic";"5";"50";"3.38";"4";"1.2"
"15";"tabu";"bic";"5";"183";"3.6";"4";"1.2"
"15";"tabu";"bds";"5";"55";"3.27";"4";"1.18"
"16";"hc";"k2";"5";"31";"1.81";"2";"0.62"
"16";"hc";"aic";"5";"38";"2.73";"3";"0.93"
"16";"hc";"bic";"5";"231";"3.6";"4";"1.2"
"16";"hc";"bds";"5";"48";"2.36";"3";"0.96"
"16";"tabu";"k2";"5";"40";"1.81";"2";"0.62"
"16";"tabu";"aic";"5";"45";"2.75";"3";"0.94"
"16";"tabu";"bic";"5";"41";"2.75";"3";"0.95"
"16";"tabu";"bds";"5";"69";"2.71";"3";"0.91"
"17";"hc";"k2";"5";"47";"1.81";"2";"0.61"
"17";"hc";"aic";"5";"46";"2.7";"3";"0.91"
"17";"hc";"bic";"5";"67";"3.6";"4";"1.2"
"17";"hc";"bds";"5";"86";"3.6";"4";"1.2"
"17";"tabu";"k2";"5";"35";"2.7";"3";"0.91"
"17";"tabu";"aic";"5";"61";"3.17";"3";"1.15"
"17";"tabu";"bic";"5";"169";"3.47";"4";"1.21"
"17";"tabu";"bds";"5";"77";"3.11";"3";"1.14"
"18";"hc";"k2";"5";"22";"2.96";"3";"1.08"
"18";"hc";"aic";"5";"73";"2.26";"2";"0.9"
"18";"hc";"bic";"5";"56";"3.6";"4";"1.2"
"18";"hc";"bds";"5";"138";"3.6";"4";"1.2"
"18";"tabu";"k2";"5";"65";"2.07";"2";"0.83"
"18";"tabu";"aic";"5";"55";"3.6";"4";"1.2"
"18";"tabu";"bic";"5";"159";"3.6";"4";"1.2"
"18";"tabu";"bds";"5";"58";"3.6";"4";"1.2"
"19";"hc";"k2";"5";"51";"2.74";"3";"0.94"
"19";"hc";"aic";"5";"64";"3.6";"4";"1.2"
"19";"hc";"bic";"5";"56";"3.33";"4";"1.19"
"19";"hc";"bds";"5";"124";"3.6";"4";"1.2"
"19";"tabu";"k2";"5";"94";"1.82";"2";"0.68"
"19";"tabu";"aic";"5";"30";"3.09";"3";"1.14"
"19";"tabu";"bic";"5";"47";"3.05";"3";"1.12"
"19";"tabu";"bds";"5";"47";"1.92";"2";"0.73"
"20";"hc";"k2";"5";"32";"0.93";"1";"0.42"
"20";"hc";"aic";"5";"46";"2.6";"3";"0.93"
"20";"hc";"bic";"5";"86";"3.57";"4";"1.2"
"20";"hc";"bds";"5";"73";"2.88";"3";"1.04"
"20";"tabu";"k2";"5";"25";"1.81";"2";"0.61"
"20";"tabu";"aic";"5";"43";"2.7";"3";"0.91"
"20";"tabu";"bic";"5";"85";"3.6";"4";"1.2"
"20";"tabu";"bds";"5";"85";"3.6";"4";"1.2"
