"mean";"median";"sd";"best";"worst";"score"
0.01;0;0.12;1;0;NA
0.01;0;0.12;1;0;NA
0.02;0;0.15;1;0;NA
0.03;0;0.17;1;0;NA
0.04;0;0.19;1;0;NA
0.04;0;0.2;1;0;NA
0.04;0;0.21;1;0;NA
0.05;0;0.22;1;0;NA
0.06;0;0.23;1;0;NA
0.1;0;0.3;1;0;NA
0.17;0;0.37;1;0;NA
0.26;0;0.44;2;0;NA
0.42;0;0.5;2;0;NA
0.6;1;0.51;2;0;NA
0.79;1;0.42;2;0;NA
0.92;1;0.34;2;0;NA
0.93;1;0.36;2;0;NA
0.96;1;0.4;2;0;NA
0.99;1;0.44;2;0;NA
1.08;1;0.52;2;0;NA
1.2;1;0.6;2;0;NA
1.36;1;0.65;2;0;NA
1.56;2;0.67;2;0;NA
1.76;2;0.62;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;3;0;NA
1.8;2;0.6;3;0;NA
1.81;2;0.61;3;0;NA
1.82;2;0.62;3;0;NA
1.82;2;0.63;3;0;NA
1.84;2;0.64;3;0;NA
1.88;2;0.69;3;0;NA
1.96;2;0.75;3;0;NA
2.09;2;0.83;3;0;NA
2.26;2;0.9;5;0;NA
