"mean";"median";"sd";"best";"worst";"score"
0.01;0;0.12;2;0;NA
0.01;0;0.13;2;0;NA
0.01;0;0.13;2;0;NA
0.02;0;0.15;2;0;NA
0.02;0;0.17;2;0;NA
0.03;0;0.17;2;0;NA
0.03;0;0.18;2;0;NA
0.03;0;0.18;2;0;NA
0.03;0;0.19;2;0;NA
0.04;0;0.2;2;0;NA
0.04;0;0.2;2;0;NA
0.04;0;0.2;2;0;NA
0.04;0;0.21;2;0;NA
0.04;0;0.21;2;0;NA
0.05;0;0.22;2;0;NA
0.05;0;0.23;2;0;NA
0.06;0;0.24;2;0;NA
0.06;0;0.24;2;0;NA
0.06;0;0.25;2;0;NA
0.07;0;0.26;2;0;NA
0.08;0;0.27;2;0;NA
0.08;0;0.28;2;0;NA
0.09;0;0.29;2;0;NA
0.09;0;0.3;2;0;NA
0.1;0;0.3;2;0;NA
0.1;0;0.31;2;0;NA
0.12;0;0.33;2;0;NA
0.14;0;0.36;2;0;NA
0.2;0;0.41;2;0;NA
0.25;0;0.44;2;0;NA
0.34;0;0.48;2;0;NA
0.46;0;0.51;2;0;NA
0.63;1;0.52;2;0;NA
0.81;1;0.45;2;0;NA
0.94;1;0.37;2;0;NA
0.95;1;0.39;2;0;NA
0.99;1;0.44;3;0;NA
1.05;1;0.5;3;0;NA
1.14;1;0.57;3;0;NA
1.28;1;0.65;3;0;NA
1.44;2;0.72;4;0;NA
1.65;2;0.73;4;0;NA
1.86;2;0.7;4;0;NA
1.94;2;0.74;4;0;NA
2.05;2;0.81;4;0;NA
2.2;2;0.87;4;0;NA
2.38;3;0.93;4;0;NA
2.58;3;0.94;4;0;NA
2.72;3;0.91;4;0;NA
2.74;3;0.93;4;0;NA
2.77;3;0.96;4;0;NA
2.83;3;1;4;0;NA
2.93;3;1.06;4;0;NA
3.09;3;1.13;4;0;NA
3.27;4;1.18;4;0;NA
3.47;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;5;0;NA
