"mean";"median";"sd";"best";"worst";"score"
0;0;0.06;1;0;NA
0;0;0.06;1;0;NA
0;0;0.06;1;0;NA
0;0;0.06;1;0;NA
0;0;0.06;1;0;NA
0;0;0.06;1;0;NA
0;0;0.06;1;0;NA
0;0;0.06;1;0;NA
0;0;0.06;1;0;NA
0;0;0.06;1;0;NA
0.01;0;0.08;1;0;NA
0.01;0;0.1;1;0;NA
0.01;0;0.11;1;0;NA
0.01;0;0.11;1;0;NA
0.02;0;0.13;1;0;NA
0.02;0;0.13;1;0;NA
0.02;0;0.15;1;0;NA
0.03;0;0.16;1;0;NA
0.03;0;0.17;1;0;NA
0.03;0;0.17;1;0;NA
0.03;0;0.17;1;0;NA
0.03;0;0.17;1;0;NA
0.03;0;0.18;1;0;NA
0.04;0;0.19;1;0;NA
0.04;0;0.19;1;0;NA
0.04;0;0.19;1;0;NA
0.05;0;0.21;1;0;NA
0.06;0;0.23;1;0;NA
0.06;0;0.24;1;0;NA
0.07;0;0.25;1;0;NA
0.07;0;0.26;1;0;NA
0.08;0;0.27;1;0;NA
0.09;0;0.28;1;0;NA
0.1;0;0.29;1;0;NA
0.1;0;0.31;1;0;NA
0.12;0;0.32;1;0;NA
0.12;0;0.33;1;0;NA
0.15;0;0.37;2;0;NA
0.2;0;0.42;2;0;NA
0.26;0;0.46;2;0;NA
0.36;0;0.51;2;0;NA
0.52;0;0.56;2;0;NA
0.67;1;0.58;3;0;NA
0.87;1;0.54;3;0;NA
1.05;1;0.52;3;0;NA
1.15;1;0.6;3;0;NA
1.3;1;0.68;3;0;NA
1.49;2;0.74;3;0;NA
1.72;2;0.75;3;0;NA
1.95;2;0.73;3;0;NA
2.04;2;0.79;3;0;NA
2.18;2;0.86;3;0;NA
2.35;3;0.91;3;0;NA
2.54;3;0.92;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;4;0;NA
2.71;3;0.91;4;0;NA
2.71;3;0.91;4;0;NA
2.71;3;0.9;4;0;NA
2.72;3;0.91;4;0;NA
2.73;3;0.93;4;0;NA
2.76;3;0.95;4;0;NA
2.8;3;0.98;4;0;NA
2.89;3;1.03;4;0;NA
3.01;3;1.1;4;0;NA
3.18;3;1.16;4;0;NA
3.37;4;1.2;4;0;NA
3.57;4;1.2;5;0;NA
