"mean";"median";"sd";"best";"worst";"score"
0.01;0;0.12;2;0;NA
0.01;0;0.12;2;0;NA
0.02;0;0.14;2;0;NA
0.02;0;0.14;2;0;NA
0.02;0;0.14;2;0;NA
0.02;0;0.15;2;0;NA
0.02;0;0.17;2;0;NA
0.03;0;0.18;2;0;NA
0.04;0;0.21;2;0;NA
0.04;0;0.22;2;0;NA
0.06;0;0.27;2;0;NA
0.07;0;0.3;2;0;NA
0.15;0;0.42;2;0;NA
0.25;0;0.53;2;0;NA
0.43;0;0.66;2;0;NA
0.68;0;0.77;2;0;NA
0.98;1;0.79;2;0;NA
1.34;1;0.69;2;0;NA
1.56;2;0.67;2;0;NA
1.76;2;0.62;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.81;2;0.62;5;0;NA
