"mean";"median";"sd";"best";"worst";"score"
0.01;0;0.11;1;0;NA
0.02;0;0.13;1;0;NA
0.02;0;0.13;1;0;NA
0.02;0;0.15;1;0;NA
0.02;0;0.15;1;0;NA
0.03;0;0.16;1;0;NA
0.03;0;0.18;1;0;NA
0.04;0;0.19;1;0;NA
0.05;0;0.21;1;0;NA
0.05;0;0.22;1;0;NA
0.06;0;0.23;1;0;NA
0.07;0;0.25;1;0;NA
0.07;0;0.26;1;0;NA
0.08;0;0.27;1;0;NA
0.1;0;0.3;1;0;NA
0.13;0;0.34;1;0;NA
0.18;0;0.39;1;0;NA
0.26;0;0.44;1;0;NA
0.37;0;0.49;2;0;NA
0.5;0;0.52;2;0;NA
0.7;1;0.52;2;0;NA
0.92;1;0.44;2;0;NA
0.99;1;0.44;2;0;NA
1.08;1;0.52;2;0;NA
1.19;1;0.6;2;0;NA
1.34;1;0.65;2;0;NA
1.53;2;0.67;2;0;NA
1.73;2;0.63;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;3;0;NA
1.81;2;0.59;3;0;NA
1.8;2;0.6;3;0;NA
1.8;2;0.6;3;0;NA
1.8;2;0.6;3;0;NA
1.8;2;0.6;3;0;NA
1.8;2;0.61;3;0;NA
1.8;2;0.61;3;0;NA
1.81;2;0.61;3;0;NA
1.81;2;0.62;3;0;NA
1.83;2;0.63;3;0;NA
1.85;2;0.65;3;0;NA
1.9;2;0.7;3;0;NA
1.97;2;0.75;3;0;NA
2.08;2;0.82;3;0;NA
2.25;2;0.88;3;0;NA
2.44;3;0.92;3;0;NA
2.63;3;0.91;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.89;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;3;0;NA
2.7;3;0.9;4;0;NA
2.7;3;0.9;4;0;NA
2.7;3;0.9;4;0;NA
2.71;3;0.9;4;0;NA
2.71;3;0.9;4;0;NA
2.71;3;0.91;4;0;NA
2.71;3;0.91;4;0;NA
2.73;3;0.93;4;0;NA
2.77;3;0.96;4;0;NA
2.82;3;0.99;4;0;NA
2.9;3;1.05;4;0;NA
3.04;3;1.12;4;0;NA
3.22;4;1.17;4;0;NA
3.42;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;4;0;NA
3.6;4;1.2;5;0;NA
