"mean";"median";"sd";"best";"worst";"score"
0.01;0;0.08;1;0;NA
0.01;0;0.1;1;0;NA
0.01;0;0.11;1;0;NA
0.02;0;0.13;1;0;NA
0.02;0;0.14;1;0;NA
0.02;0;0.14;1;0;NA
0.02;0;0.15;1;0;NA
0.02;0;0.15;1;0;NA
0.03;0;0.17;1;0;NA
0.03;0;0.17;1;0;NA
0.04;0;0.19;1;0;NA
0.04;0;0.2;1;0;NA
0.04;0;0.21;1;0;NA
0.05;0;0.21;1;0;NA
0.05;0;0.21;1;0;NA
0.06;0;0.23;1;0;NA
0.06;0;0.24;1;0;NA
0.07;0;0.26;1;0;NA
0.08;0;0.27;1;0;NA
0.08;0;0.27;1;0;NA
0.09;0;0.29;1;0;NA
0.11;0;0.32;1;0;NA
0.12;0;0.33;1;0;NA
0.14;0;0.35;2;0;NA
0.18;0;0.39;2;0;NA
0.23;0;0.44;2;0;NA
0.29;0;0.47;2;0;NA
0.39;0;0.53;3;0;NA
0.52;0;0.57;3;0;NA
0.67;1;0.58;3;0;NA
0.87;1;0.54;3;0;NA
1.04;1;0.5;3;0;NA
1.13;1;0.59;3;0;NA
1.26;1;0.67;3;0;NA
1.43;1;0.75;3;0;NA
1.65;2;0.82;3;0;NA
1.92;2;0.84;3;0;NA
2.15;2;0.85;3;0;NA
2.33;3;0.91;3;0;NA
2.53;3;0.92;4;0;NA
2.7;3;0.9;4;0;NA
2.7;3;0.9;4;0;NA
2.7;3;0.9;4;0;NA
2.7;3;0.9;4;0;NA
2.71;3;0.91;4;0;NA
2.71;3;0.91;4;0;NA
2.71;3;0.91;4;0;NA
2.71;3;0.91;4;0;NA
2.72;3;0.91;4;0;NA
2.72;3;0.92;5;0;NA
