"mean";"median";"sd";"best";"worst";"score"
0.01;0;0.12;2;0;NA
0.01;0;0.12;2;0;NA
0.01;0;0.12;2;0;NA
0.01;0;0.13;2;0;NA
0.01;0;0.13;2;0;NA
0.01;0;0.13;2;0;NA
0.02;0;0.16;2;0;NA
0.03;0;0.17;2;0;NA
0.03;0;0.18;2;0;NA
0.05;0;0.22;2;0;NA
0.07;0;0.27;2;0;NA
0.1;0;0.32;2;0;NA
0.18;0;0.41;2;0;NA
0.31;0;0.5;2;0;NA
0.48;0;0.55;2;0;NA
0.7;1;0.58;2;0;NA
0.96;1;0.55;2;0;NA
1.13;1;0.56;2;0;NA
1.29;1;0.64;2;0;NA
1.47;2;0.67;2;0;NA
1.66;2;0.65;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.8;2;0.6;2;0;NA
1.81;2;0.62;5;0;NA
