"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"5";"12";"4.55";"4.59";"0.18"
"1";"hc";"aic";"5";"29";"4.66";"4.71";"0.22"
"1";"hc";"bic";"5";"91";"4.89";"4.97";"0.26"
"1";"hc";"bds";"5";"138";"4.73";"4.8";"0.27"
"1";"tabu";"k2";"5";"15";"4.55";"4.59";"0.16"
"1";"tabu";"aic";"5";"83";"4.88";"4.97";"0.29"
"1";"tabu";"bic";"5";"42";"4.7";"4.77";"0.26"
"1";"tabu";"bds";"5";"66";"4.67";"4.75";"0.22"
"2";"hc";"k2";"5";"19";"4.73";"4.79";"0.21"
"2";"hc";"aic";"5";"40";"4.69";"4.76";"0.24"
"2";"hc";"bic";"5";"67";"4.83";"4.97";"0.29"
"2";"hc";"bds";"5";"104";"4.89";"4.97";"0.25"
"2";"tabu";"k2";"5";"15";"4.55";"4.59";"0.16"
"2";"tabu";"aic";"5";"31";"4.71";"4.77";"0.23"
"2";"tabu";"bic";"5";"62";"4.91";"5";"0.28"
"2";"tabu";"bds";"5";"124";"4.7";"4.75";"0.21"
"3";"hc";"k2";"5";"26";"4.71";"4.76";"0.22"
"3";"hc";"aic";"5";"32";"4.63";"4.68";"0.21"
"3";"hc";"bic";"5";"69";"4.88";"4.97";"0.3"
"3";"hc";"bds";"5";"103";"4.58";"4.6";"0.2"
"3";"tabu";"k2";"5";"13";"4.54";"4.59";"0.2"
"3";"tabu";"aic";"5";"34";"4.75";"4.79";"0.26"
"3";"tabu";"bic";"5";"50";"4.73";"4.8";"0.25"
"3";"tabu";"bds";"5";"117";"4.8";"4.8";"0.29"
"4";"hc";"k2";"5";"4";"4.46";"4.49";"0.17"
"4";"hc";"aic";"5";"46";"4.83";"4.97";"0.26"
"4";"hc";"bic";"5";"56";"4.73";"4.79";"0.24"
"4";"hc";"bds";"5";"103";"4.69";"4.76";"0.21"
"4";"tabu";"k2";"5";"13";"4.69";"4.76";"0.23"
"4";"tabu";"aic";"5";"26";"4.7";"4.77";"0.26"
"4";"tabu";"bic";"5";"56";"4.87";"4.97";"0.26"
"4";"tabu";"bds";"5";"66";"4.56";"4.6";"0.2"
"5";"hc";"k2";"5";"17";"4.7";"4.76";"0.19"
"5";"hc";"aic";"5";"28";"4.65";"4.71";"0.23"
"5";"hc";"bic";"5";"44";"4.71";"4.78";"0.24"
"5";"hc";"bds";"5";"123";"4.71";"4.78";"0.22"
"5";"tabu";"k2";"5";"1";"4.28";"4.31";"0.22"
"5";"tabu";"aic";"5";"53";"4.72";"4.79";"0.24"
"5";"tabu";"bic";"5";"77";"4.89";"4.97";"0.26"
"5";"tabu";"bds";"5";"92";"4.57";"4.59";"0.18"
"6";"hc";"k2";"5";"13";"4.65";"4.71";"0.24"
"6";"hc";"aic";"5";"29";"4.74";"4.79";"0.2"
"6";"hc";"bic";"5";"55";"4.72";"4.8";"0.24"
"6";"hc";"bds";"5";"111";"4.73";"4.8";"0.22"
"6";"tabu";"k2";"5";"12";"4.6";"4.64";"0.19"
"6";"tabu";"aic";"5";"30";"4.69";"4.74";"0.2"
"6";"tabu";"bic";"5";"48";"4.7";"4.76";"0.2"
"6";"tabu";"bds";"5";"98";"4.86";"4.99";"0.26"
"7";"hc";"k2";"5";"9";"4.6";"4.58";"0.21"
"7";"hc";"aic";"5";"30";"4.73";"4.77";"0.22"
"7";"hc";"bic";"4.7991";"300";"4.73";"4.8";"0.24"
"7";"hc";"bds";"5";"86";"4.74";"4.8";"0.23"
"7";"tabu";"k2";"5";"12";"4.71";"4.79";"0.23"
"7";"tabu";"aic";"5";"23";"4.66";"4.72";"0.23"
"7";"tabu";"bic";"5";"60";"4.87";"4.98";"0.26"
"7";"tabu";"bds";"5";"89";"4.76";"4.79";"0.25"
"8";"hc";"k2";"5";"1";"4.29";"4.31";"0.22"
"8";"hc";"aic";"5";"34";"4.69";"4.76";"0.24"
"8";"hc";"bic";"5";"56";"4.72";"4.78";"0.23"
"8";"hc";"bds";"5";"86";"4.68";"4.73";"0.18"
"8";"tabu";"k2";"5";"20";"4.68";"4.59";"0.24"
"8";"tabu";"aic";"5";"42";"4.74";"4.74";"0.32"
"8";"tabu";"bic";"5";"66";"4.91";"4.99";"0.28"
"8";"tabu";"bds";"5";"75";"4.59";"4.6";"0.2"
"9";"hc";"k2";"5";"4";"4.45";"4.49";"0.2"
"9";"hc";"aic";"5";"34";"4.69";"4.75";"0.19"
"9";"hc";"bic";"5";"84";"4.9";"4.98";"0.26"
"9";"hc";"bds";"5";"90";"4.68";"4.74";"0.24"
"9";"tabu";"k2";"5";"1";"4.29";"4.32";"0.23"
"9";"tabu";"aic";"5";"24";"4.63";"4.68";"0.2"
"9";"tabu";"bic";"5";"54";"4.73";"4.8";"0.23"
"9";"tabu";"bds";"5";"87";"4.72";"4.79";"0.25"
"10";"hc";"k2";"5";"18";"4.67";"4.74";"0.24"
"10";"hc";"aic";"5";"39";"4.72";"4.79";"0.26"
"10";"hc";"bic";"5";"55";"4.75";"4.8";"0.28"
"10";"hc";"bds";"5";"63";"4.59";"4.6";"0.22"
"10";"tabu";"k2";"5";"13";"4.55";"4.59";"0.17"
"10";"tabu";"aic";"5";"21";"4.65";"4.71";"0.21"
"10";"tabu";"bic";"5";"66";"4.89";"4.97";"0.28"
"10";"tabu";"bds";"5";"95";"4.72";"4.78";"0.21"
"11";"hc";"k2";"5";"24";"4.66";"4.72";"0.23"
"11";"hc";"aic";"5";"44";"4.9";"5";"0.3"
"11";"hc";"bic";"5";"50";"4.9";"4.98";"0.27"
"11";"hc";"bds";"5";"82";"4.82";"4.88";"0.26"
"11";"tabu";"k2";"5";"3";"4.44";"4.48";"0.16"
"11";"tabu";"aic";"5";"44";"4.67";"4.72";"0.18"
"11";"tabu";"bic";"5";"65";"4.9";"4.99";"0.29"
"11";"tabu";"bds";"5";"109";"4.69";"4.76";"0.23"
"12";"hc";"k2";"5";"11";"4.68";"4.76";"0.23"
"12";"hc";"aic";"5";"26";"4.7";"4.76";"0.23"
"12";"hc";"bic";"5";"56";"4.89";"4.97";"0.26"
"12";"hc";"bds";"5";"92";"4.74";"4.77";"0.24"
"12";"tabu";"k2";"5";"10";"4.55";"4.59";"0.21"
"12";"tabu";"aic";"5";"22";"4.69";"4.76";"0.26"
"12";"tabu";"bic";"5";"51";"4.73";"4.79";"0.21"
"12";"tabu";"bds";"5";"106";"4.89";"4.97";"0.26"
