"mean";"median";"sd";"best";"worst";"score"
4.28;4.28;0.21;4.61;3.23;NA
4.34;4.39;0.19;4.61;3.08;NA
4.39;4.43;0.17;4.61;2.7;NA
4.43;4.47;0.15;4.61;2.61;NA
4.45;4.48;0.17;4.61;3.28;NA
4.46;4.49;0.16;4.61;3.13;NA
4.47;4.5;0.18;4.61;2.99;NA
4.48;4.52;0.17;4.61;2.95;NA
4.47;4.52;0.22;4.61;2.69;NA
4.49;4.53;0.17;4.61;3.16;NA
4.49;4.53;0.18;4.61;2.85;NA
4.5;4.53;0.18;4.61;3.24;NA
4.5;4.54;0.19;4.61;2.93;NA
4.51;4.54;0.17;4.61;2.58;NA
4.51;4.54;0.18;4.61;2.93;NA
4.51;4.54;0.18;4.61;3.06;NA
4.51;4.55;0.18;4.61;2.78;NA
4.51;4.55;0.19;4.61;2.48;NA
4.52;4.56;0.19;4.61;2.96;NA
4.52;4.56;0.18;4.79;3.11;NA
4.52;4.57;0.2;4.79;2.73;NA
4.53;4.58;0.17;4.79;3.33;NA
4.53;4.59;0.2;4.79;2.98;NA
4.55;4.59;0.17;4.79;2.66;NA
4.55;4.59;0.17;4.79;2.96;NA
4.54;4.59;0.19;4.79;3.02;NA
4.55;4.6;0.19;4.79;3.2;NA
4.56;4.6;0.15;4.79;3.53;NA
4.55;4.6;0.17;4.79;3.43;NA
4.55;4.6;0.18;4.79;3.43;NA
4.55;4.6;0.2;4.79;3.21;NA
4.56;4.6;0.17;4.79;2.7;NA
4.57;4.6;0.16;4.79;3.16;NA
4.56;4.6;0.18;4.79;3.53;NA
4.57;4.61;0.19;4.79;3;NA
4.59;4.61;0.21;4.97;2.73;NA
4.6;4.61;0.2;4.97;3.44;NA
4.63;4.64;0.22;4.97;2.96;NA
4.68;4.74;0.22;4.97;3.25;NA
4.71;4.79;0.26;4.97;3.03;NA
4.76;4.79;0.27;4.97;2.9;NA
4.79;4.79;0.28;4.97;3.23;NA
4.83;4.97;0.27;4.97;3.23;NA
4.86;4.97;0.27;4.97;3.22;NA
4.88;4.97;0.29;4.97;2.93;NA
4.89;4.97;0.28;4.97;2.36;NA
4.88;4.97;0.3;4.97;3.09;NA
4.89;4.97;0.27;4.97;3.08;NA
4.88;4.97;0.28;4.97;3.36;NA
4.88;4.97;0.28;4.97;3.44;NA
4.88;4.97;0.29;5;3.19;NA
