"mean";"median";"sd";"best";"worst";"score"
4.29;4.31;0.2;4.59;3.2;NA
4.36;4.41;0.18;4.59;3.09;NA
4.41;4.45;0.15;4.59;3.23;NA
4.44;4.47;0.13;4.59;3.38;NA
4.46;4.48;0.14;4.72;3.25;NA
4.46;4.49;0.18;4.72;3.06;NA
4.47;4.5;0.16;4.72;2.75;NA
4.48;4.51;0.15;4.72;3.23;NA
4.48;4.52;0.16;4.72;3.1;NA
4.48;4.52;0.18;4.72;2.43;NA
4.49;4.52;0.15;4.72;3.52;NA
4.5;4.53;0.14;4.72;3.11;NA
4.5;4.53;0.13;4.72;3.56;NA
4.5;4.53;0.18;4.72;2.83;NA
4.5;4.53;0.17;4.72;3.11;NA
4.5;4.53;0.18;4.72;3.04;NA
4.5;4.54;0.16;4.73;3.08;NA
4.5;4.54;0.17;4.73;3.03;NA
4.51;4.54;0.16;4.78;3.34;NA
4.51;4.54;0.15;4.78;3.31;NA
4.51;4.54;0.17;4.78;3.36;NA
4.51;4.54;0.17;4.78;3.18;NA
4.5;4.54;0.2;4.78;2.95;NA
4.51;4.54;0.18;4.78;2.91;NA
4.52;4.54;0.17;4.78;2.66;NA
4.51;4.54;0.18;4.78;3.15;NA
4.52;4.55;0.17;4.78;3.38;NA
4.52;4.55;0.18;4.78;2.95;NA
4.52;4.55;0.17;4.78;3.31;NA
4.52;4.55;0.17;4.78;3.34;NA
4.51;4.55;0.19;4.78;3.3;NA
4.53;4.55;0.15;4.78;3.2;NA
4.52;4.56;0.18;4.78;2.87;NA
4.52;4.56;0.17;4.78;3;NA
4.53;4.56;0.17;4.78;3.11;NA
4.51;4.56;0.2;4.78;2.83;NA
4.52;4.57;0.21;4.78;2.23;NA
4.53;4.57;0.15;4.78;3.48;NA
4.52;4.57;0.2;4.78;2.73;NA
4.51;4.57;0.22;4.78;2.66;NA
4.52;4.57;0.19;4.78;3.18;NA
4.52;4.57;0.2;4.78;3.11;NA
4.52;4.57;0.2;4.78;3.03;NA
4.53;4.57;0.16;4.79;3.41;NA
4.53;4.57;0.17;4.79;3.21;NA
4.53;4.57;0.17;4.79;3.19;NA
4.54;4.58;0.16;4.79;3.23;NA
4.53;4.58;0.17;4.79;2.99;NA
4.53;4.58;0.18;4.79;3.16;NA
4.53;4.58;0.17;4.79;3.16;NA
4.53;4.58;0.19;4.79;3.08;NA
4.53;4.58;0.19;4.79;2.62;NA
4.53;4.58;0.2;4.79;2.65;NA
4.53;4.58;0.18;4.79;3.23;NA
4.53;4.58;0.2;4.79;2.86;NA
4.53;4.58;0.18;4.79;3.18;NA
4.53;4.58;0.2;4.79;3.04;NA
4.53;4.58;0.19;4.79;2.94;NA
4.53;4.58;0.19;4.79;2.94;NA
4.53;4.58;0.19;4.79;2.7;NA
4.53;4.58;0.18;4.79;2.97;NA
4.54;4.58;0.17;4.79;3.33;NA
4.53;4.58;0.18;4.79;3.56;NA
4.53;4.58;0.19;4.79;3.38;NA
4.54;4.58;0.16;4.79;3.45;NA
4.52;4.58;0.21;4.79;2.73;NA
4.54;4.58;0.18;4.79;3.06;NA
4.53;4.58;0.21;4.79;2.91;NA
4.52;4.58;0.23;4.79;2.38;NA
4.55;4.58;0.15;4.79;3.28;NA
4.53;4.58;0.19;4.8;2.93;NA
4.54;4.59;0.19;4.8;2.78;NA
4.53;4.59;0.21;4.8;2.58;NA
4.54;4.59;0.19;4.8;2.96;NA
4.54;4.59;0.19;4.8;3.24;NA
4.55;4.59;0.16;4.8;3.06;NA
4.53;4.59;0.2;4.8;2.69;NA
4.54;4.59;0.18;4.8;3.15;NA
4.54;4.59;0.18;4.8;3.2;NA
4.55;4.59;0.16;4.8;3.41;NA
4.54;4.59;0.19;4.8;3.3;NA
4.54;4.59;0.17;4.8;3.18;NA
4.55;4.59;0.17;4.8;3.06;NA
4.55;4.59;0.17;4.8;3.45;NA
4.54;4.59;0.18;4.8;2.78;NA
4.55;4.59;0.15;4.8;3.45;NA
4.53;4.59;0.22;4.8;2.69;NA
4.54;4.59;0.18;4.8;3.18;NA
4.53;4.59;0.21;4.8;2.99;NA
4.54;4.59;0.19;4.8;2.4;NA
4.54;4.59;0.18;4.8;3.46;NA
4.55;4.59;0.17;4.8;3.18;NA
4.55;4.59;0.18;4.8;2.86;NA
4.55;4.59;0.19;4.8;2.74;NA
4.54;4.59;0.2;4.8;3.42;NA
4.54;4.59;0.19;4.8;3.24;NA
4.53;4.59;0.22;4.8;2.85;NA
4.54;4.59;0.21;4.8;2.85;NA
4.55;4.59;0.18;4.8;3.27;NA
4.55;4.59;0.2;4.8;2.93;NA
4.55;4.59;0.22;4.8;2.63;NA
4.55;4.59;0.19;4.8;3.06;NA
4.55;4.59;0.19;4.8;3.34;NA
4.56;4.59;0.18;4.8;3.34;NA
4.56;4.59;0.19;4.8;3;NA
4.56;4.59;0.21;4.99;3.23;NA
4.59;4.59;0.18;4.99;3.36;NA
4.59;4.59;0.21;4.99;2.94;NA
4.61;4.6;0.2;4.99;2.94;NA
4.63;4.68;0.21;4.99;3.16;NA
4.65;4.72;0.21;4.99;3.33;NA
4.68;4.73;0.21;4.99;2.98;NA
4.7;4.74;0.19;4.99;3.43;NA
4.7;4.74;0.23;4.99;2.98;NA
4.7;4.75;0.23;4.99;2.82;NA
4.7;4.77;0.24;4.99;3.13;NA
4.71;4.78;0.23;4.99;2.74;NA
4.72;4.78;0.21;4.99;3.43;NA
4.71;4.79;0.24;4.99;3.19;NA
4.71;4.79;0.26;4.99;2.83;NA
4.72;4.79;0.24;4.99;3.23;NA
4.72;4.79;0.24;4.99;3.16;NA
4.72;4.79;0.23;4.99;3.5;NA
4.73;4.79;0.21;4.99;3.36;NA
4.73;4.79;0.21;4.99;3.37;NA
4.73;4.79;0.22;4.99;2.93;NA
4.72;4.79;0.25;4.99;3.1;NA
