"mean";"median";"sd";"best";"worst";"score"
4.28;4.27;0.21;4.59;3.19;NA
4.34;4.39;0.21;4.59;2.93;NA
4.39;4.44;0.18;4.59;2.99;NA
4.43;4.48;0.17;4.59;3.24;NA
4.45;4.49;0.18;4.59;3.11;NA
4.47;4.49;0.16;4.59;3.11;NA
4.47;4.51;0.17;4.6;3.25;NA
4.49;4.52;0.14;4.6;3.08;NA
4.49;4.53;0.2;4.6;2.6;NA
4.5;4.53;0.16;4.6;3.48;NA
4.51;4.54;0.15;4.6;3.53;NA
4.51;4.54;0.15;4.6;3.25;NA
4.51;4.54;0.17;4.6;3.11;NA
4.53;4.54;0.14;4.6;3.21;NA
4.52;4.55;0.19;4.6;2.61;NA
4.53;4.57;0.16;4.6;3.36;NA
4.52;4.58;0.21;4.6;2.88;NA
4.54;4.58;0.15;4.6;3.03;NA
4.54;4.59;0.16;4.63;3.22;NA
4.54;4.59;0.19;4.73;2.84;NA
4.55;4.59;0.18;4.73;2.6;NA
4.54;4.59;0.18;4.73;3.36;NA
4.55;4.59;0.16;4.73;3.52;NA
4.55;4.6;0.18;4.73;3.2;NA
4.55;4.6;0.18;4.73;2.93;NA
4.55;4.6;0.18;4.75;2.78;NA
4.56;4.6;0.14;4.75;3.33;NA
4.55;4.6;0.17;4.75;3.35;NA
4.56;4.6;0.17;4.75;3.2;NA
4.55;4.6;0.19;4.75;2.99;NA
4.56;4.6;0.17;4.75;2.93;NA
4.56;4.6;0.2;4.75;3.11;NA
4.58;4.6;0.19;4.75;2.69;NA
4.6;4.6;0.18;4.75;2.82;NA
4.62;4.68;0.22;4.75;2.23;NA
4.65;4.74;0.22;4.75;2.98;NA
4.68;4.75;0.21;4.98;3.05;NA
4.69;4.75;0.21;4.98;3.36;NA
4.68;4.75;0.23;4.98;3.3;NA
4.69;4.75;0.23;4.98;2.86;NA
4.68;4.75;0.25;4.98;3.19;NA
4.69;4.75;0.23;4.98;3.31;NA
4.69;4.75;0.23;4.98;3.12;NA
4.71;4.75;0.22;4.98;3.23;NA
4.72;4.75;0.24;4.98;3.03;NA
4.75;4.75;0.25;4.98;3.12;NA
4.78;4.75;0.29;4.98;3.11;NA
4.82;4.97;0.3;4.98;3.04;NA
4.88;4.98;0.27;4.98;3.16;NA
4.9;4.98;0.27;5;3;NA
