"mean";"median";"sd";"best";"worst";"score"
4.28;4.26;0.21;4.59;3.18;NA
4.36;4.41;0.15;4.59;3.56;NA
4.42;4.46;0.15;4.59;3.51;NA
4.46;4.49;0.16;4.59;3.23;NA
4.49;4.52;0.15;4.59;3.33;NA
4.51;4.54;0.14;4.59;3.6;NA
4.51;4.56;0.22;4.59;2.49;NA
4.51;4.58;0.21;4.6;3.16;NA
4.54;4.59;0.18;4.72;2.88;NA
4.54;4.59;0.18;4.72;2.93;NA
4.54;4.59;0.18;4.72;3.36;NA
4.55;4.59;0.17;4.72;3.49;NA
4.56;4.59;0.14;4.72;3.47;NA
4.55;4.59;0.18;4.72;3.13;NA
4.56;4.59;0.17;4.76;3.23;NA
4.56;4.59;0.21;4.76;2.95;NA
4.58;4.59;0.19;4.76;3.43;NA
4.6;4.63;0.19;4.76;2.94;NA
4.63;4.68;0.18;4.76;3.19;NA
4.64;4.72;0.22;4.97;2.73;NA
4.66;4.72;0.21;4.97;2.25;NA
4.67;4.72;0.2;4.97;3.35;NA
4.68;4.72;0.2;4.97;3.24;NA
4.69;4.72;0.2;4.97;3.3;NA
4.7;4.76;0.22;4.97;2.82;NA
4.71;4.76;0.22;5;3.11;NA
