"mean";"median";"sd";"best";"worst";"score"
4.3;4.34;0.19;4.59;3.4;NA
4.37;4.41;0.16;4.68;3.45;NA
4.41;4.45;0.16;4.68;2.88;NA
4.44;4.47;0.16;4.68;3.48;NA
4.46;4.48;0.14;4.68;3.24;NA
4.46;4.49;0.17;4.68;3.08;NA
4.48;4.51;0.14;4.68;2.98;NA
4.49;4.52;0.13;4.68;3.11;NA
4.49;4.53;0.15;4.68;3.56;NA
4.49;4.53;0.2;4.68;2.88;NA
4.5;4.53;0.18;4.72;3.18;NA
4.5;4.54;0.17;4.73;3.09;NA
4.51;4.54;0.15;4.73;3.46;NA
4.51;4.54;0.18;4.73;2.9;NA
4.51;4.54;0.21;4.73;2.61;NA
4.52;4.55;0.17;4.73;3.12;NA
4.53;4.56;0.17;4.73;3.44;NA
4.54;4.57;0.17;4.73;3.15;NA
4.55;4.58;0.16;4.73;3.43;NA
4.56;4.59;0.18;4.73;2.98;NA
4.59;4.6;0.16;4.73;3.49;NA
4.6;4.68;0.21;4.73;2.99;NA
4.63;4.68;0.19;4.73;2.81;NA
4.63;4.68;0.2;5;2.86;NA
