"mean";"median";"sd";"best";"worst";"score"
4.26;4.26;0.22;4.59;3.2;NA
4.33;4.36;0.18;4.59;3.08;NA
4.38;4.43;0.18;4.59;2.83;NA
4.43;4.46;0.13;4.59;3.46;NA
4.45;4.48;0.13;4.59;3.36;NA
4.46;4.48;0.15;4.59;3.44;NA
4.46;4.49;0.18;4.59;3.18;NA
4.48;4.51;0.17;4.59;3.12;NA
4.48;4.52;0.16;4.59;2.94;NA
4.48;4.52;0.16;4.59;3.43;NA
4.49;4.53;0.16;4.59;3.36;NA
4.49;4.53;0.15;4.59;3.45;NA
4.5;4.53;0.15;4.59;3.37;NA
4.5;4.53;0.14;4.59;3.25;NA
4.5;4.54;0.18;4.6;3.23;NA
4.5;4.54;0.17;4.6;3.2;NA
4.51;4.54;0.15;4.6;3.23;NA
4.5;4.54;0.19;4.6;3.06;NA
4.51;4.54;0.16;4.6;3.16;NA
4.51;4.54;0.16;4.6;3.11;NA
4.51;4.54;0.15;4.6;3.33;NA
4.51;4.54;0.15;4.6;3.43;NA
4.52;4.54;0.14;4.6;3.56;NA
4.51;4.54;0.19;4.61;2.69;NA
4.52;4.55;0.16;4.61;2.95;NA
4.52;4.55;0.16;4.75;3.43;NA
4.52;4.55;0.17;4.75;3.24;NA
4.52;4.55;0.16;4.75;3.2;NA
4.51;4.56;0.22;4.75;2.29;NA
4.53;4.56;0.14;4.75;3.46;NA
4.52;4.57;0.16;4.75;3.59;NA
4.53;4.57;0.18;4.75;3.19;NA
4.53;4.57;0.15;4.75;3.23;NA
4.53;4.57;0.16;4.75;3.37;NA
4.53;4.58;0.19;4.75;2.87;NA
4.53;4.58;0.18;4.75;2.81;NA
4.54;4.58;0.16;4.75;3.4;NA
4.53;4.58;0.19;4.75;2.99;NA
4.53;4.58;0.19;4.75;2.95;NA
4.54;4.58;0.15;4.75;3.46;NA
4.54;4.58;0.14;4.75;3.59;NA
4.53;4.58;0.2;4.75;2.99;NA
4.54;4.59;0.17;4.75;3.24;NA
4.52;4.59;0.23;4.75;2.63;NA
4.54;4.59;0.17;4.75;3.41;NA
4.54;4.59;0.19;4.75;2.74;NA
4.55;4.59;0.16;4.75;3.21;NA
4.54;4.59;0.17;4.75;3.33;NA
4.53;4.59;0.22;4.75;2.3;NA
4.54;4.59;0.18;4.75;2.86;NA
4.55;4.59;0.16;4.75;3.59;NA
4.55;4.59;0.17;4.75;3.26;NA
4.55;4.59;0.16;4.75;3.2;NA
4.54;4.6;0.21;4.75;2.82;NA
4.54;4.6;0.22;4.75;3.12;NA
4.56;4.6;0.16;4.75;3.21;NA
4.57;4.6;0.16;4.75;3.1;NA
4.57;4.6;0.19;4.75;2.95;NA
4.58;4.6;0.2;4.75;3.18;NA
4.6;4.6;0.23;5;2.66;NA
