"mean";"median";"sd";"best";"worst";"score"
4.29;4.3;0.2;4.71;3.36;NA
4.36;4.4;0.16;4.71;3.63;NA
4.39;4.44;0.2;4.71;2.7;NA
4.43;4.47;0.17;4.71;2.49;NA
4.45;4.49;0.17;4.71;3.08;NA
4.47;4.49;0.13;4.71;3.51;NA
4.47;4.51;0.17;4.71;3.23;NA
4.49;4.52;0.14;4.71;3.46;NA
4.49;4.52;0.17;4.71;3.23;NA
4.49;4.53;0.18;4.71;3.22;NA
4.51;4.54;0.17;4.71;2.73;NA
4.51;4.54;0.16;4.71;2.86;NA
4.51;4.54;0.16;4.79;2.96;NA
4.51;4.54;0.16;4.79;3.11;NA
4.52;4.55;0.17;4.79;3.24;NA
4.52;4.56;0.18;4.79;3.23;NA
4.53;4.57;0.18;4.79;2.98;NA
4.52;4.58;0.19;4.79;3.36;NA
4.54;4.58;0.18;4.79;2.86;NA
4.54;4.59;0.17;4.79;3.04;NA
4.54;4.59;0.18;4.79;2.63;NA
4.55;4.59;0.16;4.79;3.33;NA
4.54;4.59;0.21;4.79;1.98;NA
4.53;4.6;0.22;4.79;2.65;NA
4.55;4.6;0.19;4.79;3.24;NA
4.55;4.6;0.17;4.79;3.34;NA
4.56;4.6;0.16;4.79;3.23;NA
4.55;4.6;0.18;4.79;2.58;NA
4.55;4.6;0.19;4.79;3.11;NA
4.54;4.6;0.22;4.79;2.41;NA
4.56;4.6;0.16;4.79;3.48;NA
4.56;4.6;0.19;4.79;2.93;NA
4.57;4.6;0.21;4.79;3.23;NA
4.6;4.6;0.2;4.79;3.25;NA
4.61;4.6;0.22;4.79;3.11;NA
4.65;4.73;0.23;4.79;2.7;NA
4.69;4.77;0.22;4.79;2.91;NA
4.71;4.78;0.25;4.8;2.98;NA
4.72;4.78;0.24;4.8;1.86;NA
4.72;4.78;0.22;4.8;3.23;NA
4.73;4.79;0.2;4.8;3.43;NA
4.72;4.79;0.24;4.8;3.18;NA
4.73;4.79;0.23;4.8;3;NA
4.72;4.79;0.23;4.8;3.33;NA
4.73;4.79;0.23;4.8;2.91;NA
4.74;4.79;0.2;4.8;2.95;NA
4.72;4.8;0.25;4.8;2.93;NA
4.73;4.8;0.21;4.8;3.2;NA
4.73;4.8;0.22;4.8;3.36;NA
4.73;4.8;0.24;4.8;2.56;NA
4.73;4.8;0.22;4.8;3.31;NA
4.72;4.8;0.26;4.8;2.44;NA
4.73;4.8;0.22;4.8;3.31;NA
4.74;4.8;0.19;4.8;3.27;NA
4.71;4.8;0.29;4.8;2.33;NA
4.72;4.8;0.26;4.8;2.11;NA
4.73;4.8;0.24;4.8;3.1;NA
4.73;4.8;0.23;4.8;2.85;NA
4.73;4.8;0.23;4.8;3.23;NA
4.73;4.8;0.23;4.8;3.18;NA
4.72;4.8;0.25;4.8;2.98;NA
4.72;4.8;0.26;4.8;2.19;NA
4.72;4.8;0.24;4.8;3.12;NA
4.73;4.8;0.22;4.97;2.95;NA
4.74;4.8;0.19;4.97;3.2;NA
4.71;4.8;0.28;4.97;2.61;NA
4.74;4.8;0.21;4.97;3.11;NA
4.73;4.8;0.22;4.97;3.4;NA
4.74;4.8;0.22;4.97;3.46;NA
4.74;4.8;0.26;4.97;3.04;NA
4.76;4.8;0.25;4.97;2.98;NA
4.79;4.8;0.23;4.97;3.42;NA
4.8;4.97;0.31;4.97;2.58;NA
4.85;4.97;0.3;4.97;2.63;NA
4.88;4.97;0.32;4.97;2.15;NA
4.88;4.97;0.29;4.97;2.98;NA
4.89;4.97;0.26;5;3.11;NA
