"mean";"median";"sd";"best";"worst";"score"
4.29;4.3;0.21;4.59;2.88;NA
4.37;4.43;0.19;4.59;2.36;NA
4.44;4.48;0.15;4.59;3.34;NA
4.47;4.51;0.18;4.59;2.56;NA
4.5;4.53;0.15;4.59;3.51;NA
4.51;4.56;0.16;4.59;3.15;NA
4.52;4.56;0.18;4.59;3;NA
4.52;4.57;0.18;4.59;3.2;NA
4.53;4.57;0.18;4.59;2.73;NA
4.53;4.57;0.17;4.59;3.36;NA
4.54;4.58;0.16;4.59;3.24;NA
4.54;4.59;0.17;4.59;2.76;NA
4.54;4.59;0.19;4.59;3;NA
4.55;4.59;0.15;4.97;3.49;NA
4.54;4.59;0.18;4.97;3.19;NA
4.55;4.59;0.16;4.97;2.86;NA
4.55;4.59;0.19;4.97;2.83;NA
4.55;4.59;0.2;4.97;3.11;NA
4.57;4.59;0.2;4.97;2.93;NA
4.6;4.59;0.21;4.97;3.53;NA
4.62;4.59;0.29;4.97;2.99;NA
4.69;4.59;0.27;4.97;3.14;NA
4.77;4.97;0.27;4.97;3.13;NA
4.85;4.97;0.26;4.97;3.24;NA
4.87;4.97;0.31;5;2.85;NA
