"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"5";"22";"4.47";"4.7";"0.69"
"1";"hc";"aic";"5";"16";"4.37";"4.5";"0.69"
"1";"hc";"bic";"5";"13";"4.22";"4.4";"0.61"
"1";"hc";"bds";"5";"20";"4.35";"4.5";"0.69"
"1";"tabu";"k2";"5";"25";"4.47";"4.6";"0.71"
"1";"tabu";"aic";"5";"18";"4.46";"4.6";"0.66"
"1";"tabu";"bic";"5";"16";"4.41";"4.6";"0.65"
"1";"tabu";"bds";"5";"22";"4.37";"4.6";"0.66"
"2";"hc";"k2";"5";"43";"4.57";"4.8";"0.7"
"2";"hc";"aic";"5";"16";"4.22";"4.4";"0.6"
"2";"hc";"bic";"5";"17";"4.33";"4.5";"0.64"
"2";"hc";"bds";"5";"25";"4.53";"4.7";"0.7"
"2";"tabu";"k2";"5";"34";"4.53";"4.8";"0.68"
"2";"tabu";"aic";"5";"17";"4.35";"4.5";"0.65"
"2";"tabu";"bic";"5";"14";"4.21";"4.3";"0.59"
"2";"tabu";"bds";"5";"20";"4.27";"4.4";"0.63"
"3";"hc";"k2";"5";"23";"4.4";"4.7";"0.64"
"3";"hc";"aic";"5";"15";"4.29";"4.5";"0.63"
"3";"hc";"bic";"5";"18";"4.4";"4.6";"0.65"
"3";"hc";"bds";"5";"19";"4.29";"4.5";"0.64"
"3";"tabu";"k2";"5";"28";"4.04";"4.2";"0.51"
"3";"tabu";"aic";"5";"17";"4.39";"4.6";"0.67"
"3";"tabu";"bic";"5";"15";"4.27";"4.4";"0.64"
"3";"tabu";"bds";"5";"26";"4.66";"4.9";"0.74"
"4";"hc";"k2";"5";"20";"4.41";"4.7";"0.66"
"4";"hc";"aic";"5";"15";"4.34";"4.5";"0.66"
"4";"hc";"bic";"5";"15";"4.24";"4.4";"0.62"
"4";"hc";"bds";"5";"21";"4.36";"4.5";"0.65"
"4";"tabu";"k2";"5";"26";"4.41";"4.6";"0.66"
"4";"tabu";"aic";"5";"15";"4.24";"4.4";"0.62"
"4";"tabu";"bic";"5";"15";"4.34";"4.5";"0.64"
"4";"tabu";"bds";"5";"23";"4.32";"4.5";"0.63"
"5";"hc";"k2";"5";"20";"4.57";"4.8";"0.71"
"5";"hc";"aic";"5";"32";"4.65";"4.9";"0.75"
"5";"hc";"bic";"5";"16";"4.44";"4.6";"0.66"
"5";"hc";"bds";"5";"22";"4.37";"4.5";"0.65"
"5";"tabu";"k2";"5";"21";"4.56";"4.8";"0.7"
"5";"tabu";"aic";"5";"24";"4.49";"4.7";"0.69"
"5";"tabu";"bic";"5";"18";"4.47";"4.7";"0.67"
"5";"tabu";"bds";"5";"18";"4.15";"4.3";"0.59"
"6";"hc";"k2";"5";"26";"4.47";"4.7";"0.64"
"6";"hc";"aic";"5";"23";"4.61";"4.8";"0.7"
"6";"hc";"bic";"5";"16";"4.26";"4.4";"0.62"
"6";"hc";"bds";"5";"23";"4.51";"4.7";"0.69"
"6";"tabu";"k2";"5";"26";"4.32";"4.5";"0.59"
"6";"tabu";"aic";"5";"15";"4.1";"4.2";"0.55"
"6";"tabu";"bic";"5";"14";"4.24";"4.4";"0.62"
"6";"tabu";"bds";"5";"22";"4.34";"4.5";"0.65"
"7";"hc";"k2";"5";"27";"4.62";"4.9";"0.73"
"7";"hc";"aic";"5";"24";"4.53";"4.7";"0.67"
"7";"hc";"bic";"5";"17";"4.41";"4.6";"0.67"
"7";"hc";"bds";"5";"16";"4.13";"4.3";"0.58"
"7";"tabu";"k2";"5";"29";"4.4";"4.6";"0.62"
"7";"tabu";"aic";"5";"34";"4.66";"4.9";"0.73"
