"mean";"median";"sd";"best";"worst";"score"
2.66;2.6;0.28;3.7;1.8;NA
2.81;2.8;0.3;3.8;1.6;NA
2.95;2.9;0.32;3.9;1.8;NA
3.07;3;0.33;4.2;1.9;NA
3.19;3.2;0.37;4.2;1.8;NA
3.31;3.3;0.41;4.5;1.6;NA
3.46;3.5;0.42;4.5;1.6;NA
3.58;3.6;0.46;4.5;1.8;NA
3.71;3.8;0.44;4.5;2;NA
3.81;3.9;0.46;4.5;2;NA
3.89;4;0.53;4.6;1.7;NA
3.99;4.1;0.54;4.6;1.9;NA
4.07;4.2;0.57;4.7;1.9;NA
4.16;4.3;0.57;4.8;1.8;NA
4.22;4.4;0.64;4.8;1.5;NA
4.3;4.5;0.61;4.8;1.8;NA
4.37;4.5;0.62;4.9;1.6;NA
4.42;4.6;0.66;4.9;1.7;NA
4.46;4.7;0.68;4.9;1.9;NA
4.51;4.7;0.69;4.9;1.5;NA
4.54;4.7;0.7;5;1.6;NA
