"mean";"median";"sd";"best";"worst";"score"
2.71;2.7;0.31;3.6;1.8;NA
2.85;2.8;0.33;3.9;1.4;NA
2.98;2.9;0.32;4.1;2;NA
3.07;3.1;0.34;4.1;1.7;NA
3.15;3.1;0.35;4.2;1.8;NA
3.24;3.2;0.38;4.2;1.4;NA
3.34;3.4;0.37;4.4;1.7;NA
3.42;3.5;0.41;4.4;1.6;NA
3.51;3.5;0.4;4.4;1.4;NA
3.58;3.6;0.43;4.4;1.6;NA
3.66;3.7;0.45;4.5;1.5;NA
3.72;3.8;0.49;4.8;1.6;NA
3.8;3.9;0.51;4.8;1;NA
3.89;4;0.51;4.8;1.6;NA
3.98;4.1;0.53;4.8;1.5;NA
4.07;4.2;0.57;4.8;1.7;NA
4.16;4.3;0.61;4.8;1.7;NA
4.25;4.4;0.63;4.9;1.6;NA
4.33;4.5;0.63;4.9;1.7;NA
4.4;4.6;0.67;5;1.6;NA
