"mean";"median";"sd";"best";"worst";"score"
2.68;2.7;0.28;3.6;1.8;NA
2.82;2.8;0.29;3.8;1.8;NA
2.95;2.9;0.31;3.9;1.7;NA
3.07;3;0.36;4.2;1.6;NA
3.23;3.2;0.38;4.2;1.9;NA
3.35;3.4;0.43;4.3;1.8;NA
3.49;3.5;0.45;4.4;1.4;NA
3.62;3.7;0.46;4.4;1.6;NA
3.74;3.8;0.47;4.5;1.9;NA
3.85;3.9;0.49;4.6;1.9;NA
3.95;4;0.54;4.7;1.1;NA
4.04;4.2;0.58;4.7;1.5;NA
4.14;4.3;0.58;4.8;1.7;NA
4.22;4.4;0.61;4.8;1.8;NA
4.31;4.5;0.6;4.8;1.5;NA
4.38;4.5;0.62;4.9;1.8;NA
4.42;4.6;0.68;4.9;1.7;NA
4.47;4.7;0.69;4.9;1.7;NA
4.52;4.7;0.69;5;1.7;NA
