"mean";"median";"sd";"best";"worst";"score"
2.68;2.6;0.29;3.7;1.7;NA
2.82;2.8;0.27;3.7;1.8;NA
2.93;2.9;0.3;3.8;1.8;NA
3.04;3;0.3;4;2;NA
3.14;3.2;0.33;4;1.6;NA
3.24;3.2;0.35;4.1;1.7;NA
3.35;3.4;0.35;4.1;1.8;NA
3.43;3.5;0.4;4.2;1.6;NA
3.52;3.7;0.41;4.2;1.5;NA
3.6;3.7;0.38;4.2;1.5;NA
3.62;3.7;0.43;4.2;1.7;NA
3.67;3.7;0.42;4.4;1.8;NA
3.73;3.8;0.46;4.4;1.9;NA
3.8;3.8;0.5;4.7;1.8;NA
3.9;4.1;0.51;4.7;1.7;NA
4.01;4.2;0.5;4.7;1.8;NA
4.08;4.2;0.53;4.8;1.9;NA
4.11;4.2;0.57;4.8;1.4;NA
4.15;4.3;0.59;4.8;1.8;NA
4.21;4.4;0.6;4.8;1.4;NA
4.26;4.4;0.64;4.8;1.7;NA
4.33;4.4;0.65;4.8;1.8;NA
4.4;4.7;0.64;5;1.7;NA
