"mean";"median";"sd";"best";"worst";"score"
2.73;2.7;0.31;3.7;1.5;NA
2.87;2.9;0.3;3.7;1.7;NA
2.97;3;0.3;3.8;1.4;NA
3.08;3.1;0.3;3.9;1.9;NA
3.17;3.2;0.3;4;2.1;NA
3.25;3.25;0.36;4.1;1.3;NA
3.35;3.4;0.37;4.3;1.8;NA
3.44;3.5;0.42;4.5;1.5;NA
3.56;3.6;0.43;4.5;1.7;NA
3.68;3.7;0.45;4.5;1.8;NA
3.78;3.9;0.48;4.7;1.8;NA
3.88;3.95;0.51;4.7;1.6;NA
3.98;4.1;0.55;4.7;1.9;NA
4.09;4.2;0.53;4.9;1.7;NA
4.17;4.3;0.59;4.9;1.6;NA
4.25;4.4;0.64;4.9;1.6;NA
4.34;4.5;0.6;4.9;1.9;NA
4.39;4.6;0.66;4.9;1.5;NA
4.46;4.6;0.66;4.9;1.8;NA
4.5;4.7;0.69;5;1.8;NA
