"mean";"median";"sd";"best";"worst";"score"
2.71;2.7;0.3;3.8;1.8;NA
2.85;2.8;0.32;4.1;1.7;NA
2.98;2.9;0.32;4.1;1.8;NA
3.1;3.1;0.33;4.1;1.8;NA
3.18;3.2;0.35;4.1;1.9;NA
3.28;3.3;0.37;4.2;1.7;NA
3.35;3.4;0.38;4.2;1.7;NA
3.44;3.5;0.4;4.3;1.7;NA
3.54;3.6;0.39;4.5;1.8;NA
3.62;3.7;0.46;4.6;1.8;NA
3.71;3.8;0.49;4.6;1.6;NA
3.81;3.9;0.48;4.6;2;NA
3.89;4;0.49;4.7;2.1;NA
3.97;4.1;0.53;4.7;2;NA
4.05;4.2;0.56;4.7;1.8;NA
4.14;4.3;0.56;4.7;1.9;NA
4.21;4.3;0.59;4.8;1.9;NA
4.28;4.4;0.62;4.9;1.8;NA
4.34;4.5;0.63;4.9;1.9;NA
4.41;4.6;0.63;4.9;2;NA
4.45;4.6;0.68;4.9;1.9;NA
4.49;4.7;0.68;4.9;1.8;NA
4.54;4.7;0.68;4.9;1.8;NA
4.57;4.8;0.69;4.9;2;NA
4.59;4.8;0.72;4.9;1.8;NA
4.62;4.8;0.7;4.9;1.8;NA
4.65;4.9;0.69;5;2.1;NA
