"mean";"median";"sd";"best";"worst";"score"
2.69;2.7;0.29;3.7;1.6;NA
2.83;2.8;0.29;3.7;1.7;NA
2.96;2.9;0.31;3.9;1.7;NA
3.09;3.1;0.33;3.9;1.4;NA
3.2;3.2;0.38;4.2;1.8;NA
3.33;3.3;0.37;4.2;1.7;NA
3.45;3.5;0.41;4.4;1.6;NA
3.56;3.6;0.43;4.4;1.8;NA
3.66;3.7;0.47;4.4;1.7;NA
3.78;3.9;0.46;4.7;1.8;NA
3.88;4;0.53;4.7;1.5;NA
3.99;4.1;0.54;4.7;1.9;NA
4.09;4.2;0.56;4.8;1.8;NA
4.18;4.3;0.61;4.9;1.5;NA
4.27;4.4;0.61;4.9;1.7;NA
4.34;4.5;0.64;4.9;1.6;NA
4.42;4.6;0.65;4.9;1.6;NA
4.49;4.7;0.66;4.9;1.7;NA
4.53;4.7;0.71;4.9;1.9;NA
4.59;4.8;0.69;4.9;1.7;NA
4.62;4.8;0.71;4.9;1.8;NA
4.64;4.9;0.71;4.9;1.7;NA
4.66;4.9;0.74;4.9;1.7;NA
4.66;4.9;0.73;4.9;1.8;NA
4.66;4.9;0.73;4.9;2;NA
4.65;4.9;0.76;4.9;1.3;NA
4.67;4.9;0.7;4.9;1.9;NA
4.66;4.9;0.74;4.9;1.7;NA
4.66;4.9;0.74;4.9;1.6;NA
4.65;4.9;0.76;5;1.6;NA
