"mean";"median";"sd";"best";"worst";"score"
2.69;2.7;0.29;3.7;1.8;NA
2.82;2.8;0.29;3.7;1.7;NA
2.93;2.9;0.3;3.7;1.7;NA
3.04;3;0.29;3.7;1.8;NA
3.14;3.1;0.31;4;1.8;NA
3.24;3.2;0.31;4;1.8;NA
3.31;3.4;0.35;4;1.8;NA
3.4;3.5;0.35;4;1.6;NA
3.46;3.5;0.37;4;1.5;NA
3.52;3.6;0.37;4;1.6;NA
3.56;3.7;0.39;4;1.7;NA
3.61;3.7;0.38;4.2;1.7;NA
3.65;3.7;0.42;4.3;1.5;NA
3.69;3.8;0.43;4.3;1.8;NA
3.74;3.9;0.45;4.3;1.8;NA
3.8;3.9;0.47;4.5;1.9;NA
3.84;4;0.47;4.5;1.9;NA
3.89;4;0.49;4.5;1.7;NA
3.94;4;0.51;4.6;1.7;NA
3.99;4.1;0.5;4.6;1.6;NA
4.03;4.2;0.54;4.6;1.8;NA
4.09;4.2;0.53;4.7;1.8;NA
4.12;4.3;0.54;4.7;1.9;NA
4.17;4.3;0.55;4.7;1.8;NA
4.22;4.3;0.57;4.7;1.7;NA
4.26;4.5;0.58;4.7;1.9;NA
4.31;4.5;0.6;4.7;1.6;NA
4.33;4.5;0.64;4.7;1.6;NA
4.37;4.5;0.64;5;1.7;NA
