"mean";"median";"sd";"best";"worst";"score"
2.19;2.2;0.3;3.6;1;NA
2.33;2.3;0.3;3.6;0.8;NA
2.45;2.4;0.3;3.6;1.2;NA
2.58;2.6;0.33;3.6;1.3;NA
2.69;2.7;0.39;3.7;1;NA
2.82;2.8;0.38;3.7;1.2;NA
2.94;3;0.41;3.8;1.4;NA
3.05;3.1;0.46;4;1.1;NA
3.17;3.2;0.46;4.1;1.4;NA
3.27;3.4;0.51;4.2;0.9;NA
3.39;3.5;0.51;4.2;1.3;NA
3.49;3.6;0.57;4.3;1.3;NA
3.59;3.7;0.59;4.4;1.2;NA
3.68;3.8;0.6;4.4;1.3;NA
3.77;3.9;0.63;4.4;1.4;NA
3.86;4;0.64;4.5;1.3;NA
3.94;4.1;0.64;4.5;1.4;NA
4;4.2;0.7;4.5;1.4;NA
4.06;4.3;0.71;4.5;1;NA
4.12;4.3;0.71;4.5;1.3;NA
4.16;4.4;0.74;5;1.5;NA
