"mean";"median";"sd";"best";"worst";"score"
2.24;2.2;0.32;3.4;1.2;NA
2.4;2.4;0.32;3.4;1.2;NA
2.54;2.5;0.34;3.7;1.3;NA
2.63;2.6;0.35;3.7;1.4;NA
2.75;2.8;0.36;3.7;1.4;NA
2.83;2.9;0.39;3.8;1.4;NA
2.9;2.9;0.4;3.8;1.4;NA
2.97;3;0.41;3.8;1;NA
3.04;3.1;0.4;3.9;1.3;NA
3.12;3.2;0.44;4;1.2;NA
3.19;3.2;0.47;4.1;1.5;NA
3.28;3.3;0.46;4.1;1.3;NA
3.37;3.4;0.5;4.1;1.3;NA
3.45;3.6;0.53;4.3;0.9;NA
3.53;3.6;0.57;4.4;1.4;NA
3.62;3.8;0.58;4.5;0.9;NA
3.72;3.8;0.59;4.5;1.3;NA
3.81;3.9;0.63;4.5;1;NA
3.89;4.1;0.65;4.5;1.1;NA
3.97;4.2;0.69;5;1.2;NA
