"mean";"median";"sd";"best";"worst";"score"
2.21;2.2;0.3;3.3;1.1;NA
2.34;2.3;0.3;3.3;1.2;NA
2.47;2.4;0.32;3.5;1.3;NA
2.58;2.5;0.35;3.6;1.2;NA
2.72;2.7;0.38;3.8;1.3;NA
2.84;2.8;0.41;3.8;1.4;NA
2.96;3;0.45;3.9;1.1;NA
3.09;3.1;0.45;4.1;1;NA
3.22;3.3;0.5;4.1;1.2;NA
3.35;3.4;0.5;4.2;1;NA
3.46;3.6;0.55;4.3;1.1;NA
3.57;3.7;0.57;4.3;1.3;NA
3.68;3.8;0.6;4.4;0.7;NA
3.77;3.9;0.63;4.5;0.9;NA
3.86;4;0.66;4.5;1.3;NA
3.94;4.1;0.68;4.5;1.2;NA
4.02;4.2;0.67;4.5;1.4;NA
4.08;4.3;0.69;4.5;1.1;NA
4.12;4.3;0.72;4.5;1.3;NA
4.16;4.4;0.72;4.5;0.9;NA
4.19;4.4;0.72;4.5;1.4;NA
4.2;4.4;0.76;4.5;1.2;NA
4.22;4.5;0.76;4.5;1.2;NA
4.25;4.5;0.74;5;1.5;NA
