"mean";"median";"sd";"best";"worst";"score"
2.2;2.2;0.31;3.1;1.3;NA
2.33;2.3;0.28;3.1;1.5;NA
2.42;2.4;0.28;3.1;1.2;NA
2.52;2.6;0.29;3.7;1.3;NA
2.62;2.7;0.3;3.7;1.3;NA
2.7;2.8;0.34;3.7;1.3;NA
2.77;2.8;0.34;3.7;1.5;NA
2.86;2.8;0.39;4;0.8;NA
2.95;2.9;0.44;4;1.4;NA
3.07;3;0.47;4;1.3;NA
3.2;3.2;0.5;4.1;1.4;NA
3.33;3.5;0.54;4.1;1.2;NA
3.47;3.7;0.52;4.1;1.4;NA
3.57;3.7;0.54;4.1;1.2;NA
3.64;3.8;0.55;4.1;1;NA
3.68;3.85;0.58;4.1;1.2;NA
3.74;3.9;0.56;4.1;1.4;NA
3.76;3.9;0.63;4.1;1.1;NA
3.81;4;0.61;5;1.3;NA
