"mean";"median";"sd";"best";"worst";"score"
2.2;2.2;0.3;3.4;1.2;NA
2.33;2.3;0.31;3.4;1.3;NA
2.45;2.4;0.32;3.5;1.2;NA
2.57;2.6;0.34;3.5;0.9;NA
2.67;2.7;0.34;3.5;1.4;NA
2.77;2.8;0.36;3.8;1.3;NA
2.88;2.9;0.37;3.8;1.4;NA
2.97;3;0.42;3.8;1.4;NA
3.08;3.1;0.48;4.1;1.1;NA
3.21;3.3;0.49;4.3;0.8;NA
3.34;3.4;0.51;4.3;0.9;NA
3.45;3.5;0.56;4.4;1.2;NA
3.57;3.7;0.58;4.4;1.3;NA
3.68;3.8;0.61;4.4;1.2;NA
3.79;4;0.66;4.4;1;NA
3.89;4.1;0.66;4.4;1.1;NA
3.97;4.2;0.67;4.5;1.3;NA
4.03;4.2;0.72;4.5;1.1;NA
4.09;4.3;0.71;4.5;1.1;NA
4.13;4.4;0.74;4.5;1.2;NA
4.16;4.4;0.75;4.5;1.2;NA
4.19;4.4;0.75;4.5;1.2;NA
4.21;4.5;0.74;5;1.4;NA
