"mean";"median";"sd";"best";"worst";"score"
2.26;2.2;0.32;3.4;1.1;NA
2.4;2.4;0.32;3.6;1.2;NA
2.52;2.5;0.31;3.6;1.2;NA
2.64;2.6;0.34;3.6;1.3;NA
2.75;2.8;0.37;3.6;1.3;NA
2.84;2.9;0.38;3.7;1.2;NA
2.92;3;0.38;3.7;1.1;NA
2.99;3;0.4;3.9;1.4;NA
3.07;3.1;0.43;3.9;1.3;NA
3.14;3.2;0.46;3.9;1.3;NA
3.22;3.3;0.47;4.3;1.2;NA
3.29;3.4;0.5;4.3;1.1;NA
3.39;3.5;0.53;4.3;1.4;NA
3.48;3.6;0.57;4.3;1.2;NA
3.58;3.7;0.58;4.3;1.2;NA
3.68;3.8;0.6;4.4;1.3;NA
3.76;3.9;0.63;4.4;1.1;NA
3.84;4;0.64;4.5;1.2;NA
3.91;4.1;0.69;4.5;1.2;NA
3.98;4.2;0.69;4.5;1.3;NA
4.04;4.2;0.68;4.5;1.2;NA
4.08;4.3;0.72;4.5;1.2;NA
4.13;4.3;0.72;4.5;1.3;NA
4.16;4.4;0.75;4.5;1;NA
4.2;4.4;0.73;5;1.2;NA
