"mean";"median";"sd";"best";"worst";"score"
2.21;2.2;0.3;3.2;1.1;NA
2.35;2.3;0.31;3.3;1.3;NA
2.48;2.4;0.35;3.4;1;NA
2.6;2.6;0.34;3.7;1.3;NA
2.72;2.7;0.38;3.7;1.4;NA
2.85;2.9;0.4;3.8;1.2;NA
2.97;3;0.43;4;1.3;NA
3.08;3.1;0.47;4.1;1.2;NA
3.21;3.3;0.49;4.2;0.9;NA
3.31;3.4;0.52;4.2;1.4;NA
3.43;3.5;0.56;4.3;1.1;NA
3.54;3.7;0.57;4.3;1.4;NA
3.64;3.8;0.57;4.3;1.2;NA
3.74;3.9;0.6;4.4;1.3;NA
3.83;4;0.62;4.4;1.3;NA
3.89;4.1;0.65;4.5;1.4;NA
3.96;4.2;0.66;4.5;0.9;NA
4;4.2;0.71;4.5;1.2;NA
4.06;4.3;0.68;4.5;1.4;NA
4.1;4.3;0.69;4.5;1.2;NA
4.14;4.4;0.71;4.5;1.3;NA
4.17;4.4;0.72;4.5;1.2;NA
4.19;4.4;0.75;4.5;1.1;NA
4.21;4.4;0.73;4.5;1.5;NA
4.22;4.5;0.75;4.5;1.1;NA
4.25;4.5;0.73;4.5;1.4;NA
4.25;4.5;0.76;4.5;1.2;NA
4.25;4.5;0.76;4.5;1.1;NA
4.25;4.5;0.74;4.5;1.3;NA
4.26;4.5;0.73;4.5;1.5;NA
4.25;4.5;0.77;4.5;1.3;NA
4.25;4.5;0.77;4.5;1.4;NA
4.24;4.5;0.78;4.5;1.4;NA
4.25;4.5;0.76;4.5;1;NA
4.24;4.5;0.79;4.5;1.3;NA
4.25;4.5;0.74;4.5;1.4;NA
4.24;4.5;0.78;4.5;1.2;NA
4.25;4.5;0.77;4.5;1.2;NA
4.24;4.5;0.78;4.5;1;NA
4.26;4.5;0.74;4.5;1.1;NA
4.25;4.5;0.75;5;1.5;NA
