"mean";"median";"sd";"best";"worst";"score"
2.2;2.2;0.29;3.3;1.3;NA
2.35;2.3;0.28;3.3;1.5;NA
2.45;2.4;0.3;3.3;1.2;NA
2.56;2.5;0.3;3.6;1.3;NA
2.66;2.7;0.3;3.7;1.4;NA
2.75;2.8;0.35;3.8;1.2;NA
2.84;2.9;0.38;4;1.2;NA
2.94;2.9;0.4;4.1;1.5;NA
3.03;3;0.45;4.1;1.3;NA
3.13;3.2;0.47;4.2;1.4;NA
3.26;3.3;0.5;4.2;1.4;NA
3.38;3.4;0.53;4.2;1.2;NA
3.5;3.6;0.57;4.2;1.3;NA
3.63;3.8;0.61;4.3;1.4;NA
3.75;3.9;0.6;4.3;1.2;NA
3.83;4;0.63;4.3;1.4;NA
3.89;4.1;0.63;4.3;1.1;NA
3.92;4.1;0.65;4.3;1.2;NA
3.96;4.2;0.63;4.3;1.1;NA
3.97;4.2;0.68;4.3;1.2;NA
3.99;4.2;0.67;4.3;1;NA
4;4.2;0.68;4.3;1.3;NA
4.01;4.2;0.69;4.3;1.3;NA
4.03;4.3;0.69;4.3;1.1;NA
4.05;4.3;0.69;4.5;1.2;NA
4.07;4.3;0.71;4.5;1.4;NA
4.08;4.3;0.69;4.5;1.3;NA
4.08;4.3;0.7;4.5;1.2;NA
4.09;4.3;0.69;4.5;1.4;NA
4.1;4.3;0.72;4.5;0.7;NA
4.13;4.3;0.71;4.5;1.4;NA
4.15;4.3;0.76;5;1.1;NA
