"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"0.0268866403215657";"100";"0.2";"0.03";"0.54"
"1";"hc";"aic";"0.00100991567070463";"100";"0.18";"0";"0.53"
"1";"hc";"bic";"-1.58474663614072e-06";"100";"0.17";"0";"0.53"
"1";"hc";"bds";"0.00249581165997093";"100";"0.18";"0";"0.55"
"1";"tabu";"k2";"0.0148349843408417";"100";"0.19";"0.01";"0.54"
"1";"tabu";"aic";"0.00227354810819058";"100";"0.19";"0";"0.56"
"1";"tabu";"bic";"0.00100991567070463";"100";"0.17";"0";"0.52"
"1";"tabu";"bds";"0.00357839923782954";"100";"0.18";"0";"0.54"
"2";"hc";"k2";"0.0397867765360953";"100";"0.25";"0.08";"0.53"
"2";"hc";"aic";"0.000550038654649754";"100";"0.18";"0";"0.54"
"2";"hc";"bic";"-1.58474663614072e-06";"100";"0.18";"0";"0.54"
"2";"hc";"bds";"0.333638285855408";"100";"0.47";"0.33";"0.43"
"2";"tabu";"k2";"0.0313170442063473";"100";"0.21";"0.03";"0.53"
"2";"tabu";"aic";"0.000734552336000727";"100";"0.17";"0";"0.52"
"2";"tabu";"bic";"0.000146597168129592";"100";"0.18";"0";"0.54"
"2";"tabu";"bds";"0.0181145821946616";"100";"0.19";"0.02";"0.53"
"3";"hc";"k2";"0.00749702297145083";"100";"0.18";"0.01";"0.53"
"3";"hc";"aic";"0.000330541135955098";"100";"0.17";"0";"0.51"
"3";"hc";"bic";"0.00599811716486531";"100";"0.18";"0.01";"0.53"
"3";"hc";"bds";"0.0208182723942389";"100";"0.19";"0.02";"0.52"
"3";"tabu";"k2";"0.00596565125146764";"100";"0.18";"0.01";"0.54"
"3";"tabu";"aic";"0.0057124902270389";"100";"0.19";"0.01";"0.55"
"3";"tabu";"bic";"0.000598201521793573";"100";"0.17";"0";"0.52"
"3";"tabu";"bds";"0.0324083198362919";"100";"0.21";"0.03";"0.53"
"4";"hc";"k2";"0.0369085941509226";"100";"0.22";"0.04";"0.55"
"4";"hc";"aic";"0.0343908416774363";"100";"0.21";"0.03";"0.54"
"4";"hc";"bic";"1.77482440646415e-05";"100";"0.18";"0";"0.56"
"4";"hc";"bds";"0.0793706609365312";"100";"0.25";"0.08";"0.51"
"4";"tabu";"k2";"0.0274821504685741";"100";"0.2";"0.03";"0.53"
"4";"tabu";"aic";"0.085540780271864";"100";"0.26";"0.09";"0.54"
"4";"tabu";"bic";"0.0017013180012293";"100";"0.18";"0";"0.55"
"4";"tabu";"bds";"0.0253438072271202";"100";"0.2";"0.03";"0.55"
"5";"hc";"k2";"0.00312161301852742";"100";"0.18";"0";"0.55"
"5";"hc";"aic";"2.24043336656266e-05";"100";"0.18";"0";"0.54"
"5";"hc";"bic";"5.54553183012008e-05";"100";"0.18";"0";"0.55"
"5";"hc";"bds";"0.0782044683016854";"100";"0.24";"0.08";"0.49"
"5";"tabu";"k2";"0.0264432305224411";"100";"0.2";"0.03";"0.53"
"5";"tabu";"aic";"0.0278548489959336";"100";"0.2";"0.03";"0.52"
"5";"tabu";"bic";"0.00109640846555803";"100";"0.18";"0";"0.55"
"5";"tabu";"bds";"0.0879948637936159";"100";"0.26";"0.09";"0.53"
"6";"hc";"k2";"0.059435225490438";"100";"0.23";"0.06";"0.51"
"6";"hc";"aic";"0.0190090757320318";"100";"0.19";"0.02";"0.53"
"6";"hc";"bic";"0.00733896380655863";"100";"0.18";"0.01";"0.52"
"6";"hc";"bds";"0.0472717929339757";"100";"0.22";"0.05";"0.52"
"6";"tabu";"k2";"0.0192966963286501";"100";"0.18";"0.02";"0.51"
"6";"tabu";"aic";"0.00344152204532033";"100";"0.18";"0";"0.54"
"6";"tabu";"bic";"0.0024434821564947";"100";"0.18";"0";"0.52"
"6";"tabu";"bds";"0.0678162457206031";"100";"0.24";"0.07";"0.51"
"7";"hc";"k2";"0.0375884381782312";"100";"0.21";"0.04";"0.53"
"7";"hc";"aic";"0.0063478149105034";"100";"0.17";"0.01";"0.5"
"7";"hc";"bic";"0.00732190663783872";"100";"0.19";"0.01";"0.56"
"7";"hc";"bds";"0.0314057669798731";"100";"0.2";"0.03";"0.52"
"7";"tabu";"k2";"0.0345850487737347";"100";"0.21";"0.03";"0.53"
"7";"tabu";"aic";"0.00230022911331051";"100";"0.17";"0";"0.52"
"7";"tabu";"bic";"0.00120516436078666";"100";"0.17";"0";"0.53"
"7";"tabu";"bds";"0.0601776042492035";"100";"0.23";"0.06";"0.52"
"8";"hc";"k2";"0.00927554312306667";"100";"0.18";"0.01";"0.54"
"8";"hc";"aic";"0.0820986935104031";"100";"0.25";"0.08";"0.53"
"8";"hc";"bic";"0.000517302394366981";"100";"0.18";"0";"0.53"
