"mean";"median";"sd";"best";"worst";"score"
1.63;1.7;0.27;0.48;2.79;NA
1.51;1.7;0.32;0.38;2.45;NA
1.4;1.53;0.38;0.05;2.71;NA
1.24;1.22;0.42;0.03;2.46;NA
1.07;1.04;0.45;0.03;3.18;NA
0.9;0.93;0.46;0.03;2.82;NA
0.73;0.73;0.47;0.03;2.6;NA
0.58;0.53;0.49;0.03;2.63;NA
0.44;0.22;0.51;0.03;2.68;NA
0.32;0.14;0.51;0.01;2.69;NA
0.26;0.06;0.53;0.01;2.96;NA
0.23;0.05;0.52;0.01;2.8;NA
0.22;0.04;0.55;0.01;3.47;NA
0.21;0.03;0.53;0.01;2.8;NA
0.2;0.03;0.53;0.01;2.47;NA
0.2;0.03;0.53;0.01;2.62;NA
0.2;0.03;0.53;0.01;2.72;NA
0.2;0.03;0.53;0.01;2.61;NA
0.19;0.03;0.51;0.01;2.17;NA
0.19;0.01;0.53;0.01;2.61;NA
0.18;0.01;0.52;0.01;2.94;NA
0.18;0.01;0.54;0.01;2.68;NA
0.18;0.01;0.54;0.01;2.81;NA
0.18;0.01;0.53;0.01;2.55;NA
0.19;0.01;0.56;0.01;3.55;NA
0.18;0.01;0.53;0.01;2.59;NA
0.18;0.01;0.53;0.01;2.65;NA
0.17;0.01;0.51;0.01;2.52;NA
0.18;0.01;0.54;0.01;2.51;NA
0.18;0.01;0.53;0.01;2.36;NA
0.18;0.01;0.53;0.01;2.87;NA
0.18;0.01;0.54;0.01;2.8;NA
0.17;0.01;0.52;0.01;2.59;NA
0.19;0.01;0.57;0.01;2.89;NA
0.18;0.01;0.53;0.01;2.79;NA
0.18;0.01;0.54;0.01;2.7;NA
0.18;0.01;0.53;0.01;2.39;NA
0.18;0.01;0.54;0.01;2.7;NA
0.18;0.01;0.54;0.01;2.64;NA
0.19;0.01;0.55;0.01;3.1;NA
0.18;0.01;0.54;0.01;2.86;NA
0.18;0.01;0.54;0.01;2.68;NA
0.19;0.01;0.58;0.01;3.38;NA
0.19;0.01;0.55;0.01;2.78;NA
0.19;0.01;0.56;0.01;2.75;NA
0.18;0.01;0.54;0.01;2.78;NA
0.18;0.01;0.54;0.01;2.8;NA
0.18;0.01;0.51;0.01;2.55;NA
0.18;0.01;0.53;0.01;2.6;NA
0.17;0.01;0.51;0.01;2.54;NA
0.18;0.01;0.52;0.01;2.58;NA
0.18;0.01;0.53;0.01;2.6;NA
0.19;0.01;0.54;0.01;2.79;NA
0.18;0.01;0.52;0.01;2.45;NA
0.18;0.01;0.53;0.01;2.59;NA
0.19;0.01;0.55;0.01;2.76;NA
0.18;0.01;0.53;0.01;2.1;NA
0.18;0.01;0.53;0.01;2.6;NA
0.18;0.01;0.53;0.01;2.67;NA
0.19;0.01;0.56;0.01;2.59;NA
0.17;0.01;0.52;0.01;2.66;NA
0.18;0.01;0.53;0.01;3.36;NA
0.19;0.01;0.55;0.01;2.78;NA
0.18;0.01;0.53;0.01;2.63;NA
0.19;0.01;0.55;0.01;2.6;NA
0.18;0.01;0.53;0.01;2.54;NA
0.18;0.01;0.52;0.01;3.26;NA
0.17;0.01;0.51;0.01;2.61;NA
0.19;0.01;0.55;0.01;3.22;NA
0.18;0.01;0.55;0.01;2.6;NA
0.18;0.01;0.53;0.01;2.6;NA
0.18;0.01;0.54;0.01;2.8;NA
0.19;0.01;0.55;0.01;2.69;NA
0.18;0.01;0.52;0.01;2.17;NA
0.19;0.01;0.55;0.01;2.75;NA
0.18;0.01;0.54;0.01;3.05;NA
0.17;0.01;0.51;0.01;2.38;NA
0.18;0.01;0.54;0.01;2.8;NA
0.19;0.01;0.55;0.01;2.8;NA
0.19;0.01;0.55;0.01;2.87;NA
0.18;0.01;0.53;0.01;2.59;NA
0.18;0.01;0.54;0.01;2.74;NA
0.18;0.01;0.53;0.01;2.8;NA
0.18;0.01;0.55;0.01;3.09;NA
0.18;0.01;0.52;0.01;2.59;NA
0.18;0.01;0.54;0.01;2.71;NA
0.19;0.01;0.55;0.01;2.7;NA
0.18;0.01;0.53;0.01;2.6;NA
0.18;0.01;0.53;0.01;2.6;NA
0.19;0.01;0.54;0.01;2.76;NA
0.18;0.01;0.54;0.01;2.65;NA
0.19;0.01;0.55;0.01;2.6;NA
0.18;0.01;0.53;0.01;2.68;NA
0.18;0.01;0.54;0.01;2.78;NA
0.19;0.01;0.55;0.01;2.74;NA
0.19;0.01;0.55;0.01;2.8;NA
0.18;0.01;0.53;0.01;2.67;NA
0.19;0.01;0.55;0.01;2.6;NA
0.19;0.01;0.54;0.01;2.76;NA
0.17;0.01;0.5;0.01;1.83;NA
