"mean";"median";"sd";"best";"worst";"score"
1.63;1.7;0.25;0.71;2.52;NA
1.54;1.7;0.3;0.71;2.68;NA
1.44;1.63;0.35;0.7;2.7;NA
1.3;1.34;0.36;0.7;2.77;NA
1.14;1.07;0.33;0.61;2.12;NA
1.01;0.92;0.32;0.31;2.6;NA
0.92;0.81;0.34;0.31;2.75;NA
0.85;0.71;0.33;0.31;2.6;NA
0.82;0.71;0.37;0.31;2.86;NA
0.79;0.71;0.33;0.31;2.03;NA
0.77;0.7;0.35;0.31;2.65;NA
0.74;0.7;0.36;0.31;2.8;NA
0.7;0.7;0.38;0.31;2.35;NA
0.64;0.61;0.42;0.31;2.59;NA
0.57;0.31;0.44;0.31;2.97;NA
0.5;0.31;0.45;0.31;2.37;NA
0.45;0.31;0.44;0.31;2.6;NA
0.46;0.31;0.47;0.31;3.2;NA
0.46;0.31;0.47;0.31;2.79;NA
0.45;0.31;0.45;0.31;2.6;NA
0.46;0.31;0.46;0.31;2.69;NA
0.45;0.31;0.45;0.31;2.78;NA
0.44;0.31;0.42;0.31;2.56;NA
0.45;0.31;0.45;0.31;2.5;NA
0.45;0.31;0.44;0.31;2.54;NA
0.45;0.31;0.43;0.31;2.34;NA
0.45;0.31;0.44;0.31;2.6;NA
0.45;0.31;0.44;0.31;2.64;NA
0.45;0.31;0.45;0.31;2.58;NA
0.45;0.31;0.44;0.31;2.31;NA
0.45;0.31;0.45;0.31;2.66;NA
0.45;0.31;0.44;0.31;2.72;NA
0.45;0.31;0.44;0.31;2.7;NA
0.45;0.31;0.44;0.31;2.76;NA
0.45;0.31;0.44;0.31;2.55;NA
0.46;0.31;0.46;0.31;2.7;NA
0.45;0.31;0.44;0.31;2.48;NA
0.45;0.31;0.45;0.31;2.74;NA
0.45;0.31;0.42;0.31;2.11;NA
0.45;0.31;0.43;0.31;2.36;NA
0.46;0.31;0.46;0.31;3.44;NA
0.45;0.31;0.44;0.31;2.75;NA
0.45;0.31;0.44;0.31;2.59;NA
0.46;0.31;0.46;0.31;2.59;NA
0.45;0.31;0.43;0.31;2.79;NA
0.46;0.31;0.48;0.31;3.36;NA
0.45;0.31;0.43;0.31;2.6;NA
0.45;0.31;0.45;0.31;2.69;NA
0.45;0.31;0.44;0.31;2.75;NA
0.45;0.31;0.45;0.31;2.6;NA
0.45;0.31;0.43;0.31;2.19;NA
0.45;0.31;0.43;0.31;2.57;NA
0.45;0.31;0.43;0.31;2.58;NA
0.45;0.31;0.45;0.31;3.08;NA
0.46;0.31;0.46;0.31;2.78;NA
0.46;0.31;0.46;0.31;2.68;NA
0.45;0.31;0.44;0.31;2.8;NA
0.45;0.31;0.44;0.31;2.65;NA
0.45;0.31;0.43;0.31;2.59;NA
0.45;0.31;0.44;0.31;2.59;NA
0.45;0.31;0.44;0.31;2.57;NA
0.45;0.31;0.43;0.31;2.3;NA
0.46;0.31;0.46;0.31;2.58;NA
0.45;0.31;0.44;0.31;2.63;NA
0.46;0.31;0.46;0.31;2.57;NA
0.46;0.31;0.45;0.31;2.58;NA
0.46;0.31;0.48;0.31;2.79;NA
0.45;0.31;0.44;0.31;2.79;NA
0.45;0.31;0.45;0.31;2.6;NA
0.45;0.31;0.43;0.31;2.37;NA
0.45;0.31;0.44;0.26;2.52;NA
0.46;0.31;0.46;0.26;2.61;NA
0.45;0.31;0.45;0.26;2.78;NA
0.45;0.31;0.44;0.26;2.65;NA
0.45;0.31;0.46;0.26;2.59;NA
0.45;0.31;0.46;0.26;2.81;NA
0.46;0.31;0.48;0.26;2.71;NA
0.44;0.31;0.46;0.26;2.6;NA
0.44;0.31;0.46;0.26;2.59;NA
0.43;0.26;0.47;0.26;2.73;NA
0.41;0.26;0.45;0.26;2.32;NA
0.41;0.26;0.47;0.26;2.93;NA
0.41;0.26;0.45;0.26;2.67;NA
0.41;0.26;0.46;0.26;2.6;NA
0.42;0.26;0.48;0.26;2.76;NA
0.41;0.26;0.47;0.26;3.53;NA
0.41;0.26;0.45;0.26;2.59;NA
0.41;0.26;0.46;0.26;2.8;NA
0.42;0.26;0.48;0.26;2.76;NA
0.41;0.26;0.46;0.26;2.75;NA
0.42;0.26;0.48;0.26;2.6;NA
0.41;0.26;0.46;0.26;2.69;NA
0.41;0.26;0.46;0.26;2.61;NA
0.41;0.26;0.46;0.26;2.68;NA
0.41;0.26;0.45;0.26;2.57;NA
0.41;0.26;0.46;0.26;2.76;NA
0.4;0.26;0.43;0.26;2.09;NA
0.4;0.26;0.44;0.26;2.37;NA
0.41;0.26;0.46;0.26;3.09;NA
0.41;0.26;0.46;0.26;2.8;NA
