"mean";"median";"sd";"best";"worst";"score"
1.62;1.7;0.29;0.55;2.57;NA
1.52;1.7;0.35;0.18;2.66;NA
1.37;1.66;0.44;0;2.6;NA
1.2;1.23;0.51;0;2.6;NA
0.97;0.98;0.5;0;2.69;NA
0.75;0.76;0.48;0;2.59;NA
0.6;0.65;0.5;0;2.6;NA
0.47;0.26;0.52;0;2.8;NA
0.34;0.12;0.52;0;2.68;NA
0.25;0.07;0.53;0;2.7;NA
0.21;0.05;0.52;0;2.67;NA
0.19;0.01;0.52;0;2.6;NA
0.18;0;0.53;0;2.76;NA
0.18;0;0.54;0;2.97;NA
0.17;0;0.53;0;2.58;NA
0.18;0;0.53;0;2.45;NA
0.18;0;0.53;0;2.32;NA
0.18;0;0.55;0;2.98;NA
0.18;0;0.53;0;2.33;NA
0.17;0;0.52;0;2.4;NA
0.17;0;0.53;0;2.58;NA
0.18;0;0.54;0;2.77;NA
0.17;0;0.53;0;2.61;NA
0.18;0;0.56;0;2.67;NA
0.17;0;0.52;0;2.55;NA
0.18;0;0.55;0;2.6;NA
0.18;0;0.55;0;2.75;NA
0.18;0;0.54;0;2.74;NA
0.18;0;0.55;0;3.37;NA
0.18;0;0.55;0;2.6;NA
0.17;0;0.53;0;2.65;NA
0.18;0;0.53;0;2.58;NA
0.18;0;0.54;0;2.62;NA
0.17;0;0.52;0;2.57;NA
0.18;0;0.55;0;2.66;NA
0.18;0;0.54;0;2.58;NA
0.18;0;0.55;0;2.69;NA
0.18;0;0.54;0;3.09;NA
0.18;0;0.54;0;2.69;NA
0.18;0;0.55;0;2.8;NA
0.17;0;0.53;0;2.54;NA
0.19;0;0.57;0;2.72;NA
0.18;0;0.54;0;2.57;NA
0.18;0;0.53;0;2.59;NA
0.18;0;0.55;0;2.75;NA
0.18;0;0.55;0;2.58;NA
0.18;0;0.54;0;2.59;NA
0.18;0;0.54;0;2.51;NA
0.18;0;0.53;0;2.54;NA
0.18;0;0.55;0;3.2;NA
0.18;0;0.54;0;2.6;NA
0.18;0;0.55;0;3.06;NA
0.18;0;0.53;0;2.7;NA
0.18;0;0.56;0;2.58;NA
0.18;0;0.55;0;2.78;NA
0.17;0;0.51;0;2.12;NA
0.18;0;0.54;0;2.6;NA
0.18;0;0.53;0;2.59;NA
0.18;0;0.55;0;2.94;NA
0.17;0;0.53;0;2.8;NA
0.18;0;0.54;0;2.49;NA
0.18;0;0.53;0;2.5;NA
0.18;0;0.54;0;2.69;NA
0.17;0;0.53;0;2.57;NA
0.18;0;0.55;0;2.8;NA
0.17;0;0.53;0;2.62;NA
0.17;0;0.52;0;2.59;NA
0.18;0;0.55;0;2.67;NA
0.18;0;0.55;0;2.8;NA
0.18;0;0.54;0;2.8;NA
0.18;0;0.55;0;2.79;NA
0.18;0;0.56;0;2.54;NA
0.18;0;0.53;0;2.38;NA
0.18;0;0.54;0;2.8;NA
0.17;0;0.53;0;2.69;NA
0.18;0;0.54;0;2.39;NA
0.18;0;0.55;0;2.6;NA
0.18;0;0.56;0;2.7;NA
0.18;0;0.53;0;2.51;NA
0.18;0;0.54;0;3.25;NA
0.18;0;0.53;0;2.46;NA
0.18;0;0.55;0;2.79;NA
0.17;0;0.53;0;2.74;NA
0.18;0;0.56;0;3.41;NA
0.17;0;0.52;0;2.7;NA
0.18;0;0.55;0;2.61;NA
0.18;0;0.56;0;3.06;NA
0.17;0;0.51;0;2.01;NA
0.17;0;0.52;0;2.38;NA
0.19;0;0.58;0;2.75;NA
0.17;0;0.52;0;2.66;NA
0.17;0;0.52;0;2.41;NA
0.17;0;0.52;0;2.44;NA
0.17;0;0.53;0;2.6;NA
0.17;0;0.52;0;2.7;NA
0.17;0;0.52;0;2.42;NA
0.17;0;0.53;0;2.59;NA
0.18;0;0.54;0;3;NA
0.18;0;0.56;0;2.79;NA
0.17;0;0.53;0;2.57;NA
