"mean";"median";"sd";"best";"worst";"score"
1.63;1.7;0.29;0.12;2.51;NA
1.51;1.7;0.35;0.12;2.55;NA
1.38;1.63;0.42;0.12;2.55;NA
1.2;1.11;0.45;0.09;2.8;NA
1;0.85;0.42;0.07;2.54;NA
0.83;0.77;0.42;0.07;2.6;NA
0.69;0.71;0.43;0.06;2.57;NA
0.6;0.61;0.48;0.05;2.85;NA
0.47;0.29;0.48;0.05;2.6;NA
0.37;0.14;0.53;0.05;3.11;NA
0.28;0.12;0.51;0.05;2.66;NA
0.26;0.09;0.51;0.05;2.54;NA
0.26;0.08;0.54;0.05;2.7;NA
0.24;0.07;0.5;0.05;2.79;NA
0.23;0.07;0.52;0.05;2.75;NA
0.23;0.07;0.5;0.05;2.81;NA
0.23;0.07;0.5;0.05;1.99;NA
0.23;0.06;0.53;0.05;2.82;NA
0.22;0.05;0.51;0.05;2.77;NA
0.22;0.05;0.51;0.05;2.66;NA
0.22;0.05;0.51;0.05;2.58;NA
0.22;0.05;0.5;0.05;2.4;NA
0.23;0.05;0.53;0.05;2.69;NA
0.23;0.05;0.53;0.05;2.62;NA
0.22;0.05;0.51;0.05;2.5;NA
0.22;0.05;0.52;0.05;2.6;NA
0.22;0.05;0.51;0.05;2.58;NA
0.22;0.05;0.52;0.05;2.79;NA
0.23;0.05;0.54;0.05;2.59;NA
0.23;0.05;0.53;0.05;2.71;NA
0.22;0.05;0.53;0.05;3.58;NA
0.22;0.05;0.51;0.05;2.56;NA
0.23;0.05;0.53;0.05;2.65;NA
0.22;0.05;0.51;0.05;2.43;NA
0.22;0.05;0.52;0.05;2.6;NA
0.23;0.05;0.53;0.05;2.76;NA
0.22;0.05;0.5;0.05;2.46;NA
0.23;0.05;0.54;0.05;2.69;NA
0.22;0.05;0.51;0.05;2.61;NA
0.22;0.05;0.51;0.05;2.8;NA
0.22;0.05;0.52;0.05;2.79;NA
0.23;0.05;0.54;0.05;3.06;NA
0.23;0.05;0.52;0.05;2.6;NA
0.23;0.05;0.54;0.05;2.79;NA
0.23;0.05;0.53;0.05;3.23;NA
0.21;0.05;0.5;0.05;2.7;NA
0.23;0.05;0.54;0.05;2.77;NA
0.23;0.05;0.54;0.05;2.8;NA
0.23;0.05;0.53;0.05;3.03;NA
0.22;0.05;0.52;0.05;2.58;NA
0.23;0.05;0.55;0.05;3.39;NA
0.22;0.05;0.51;0.05;2.59;NA
0.22;0.05;0.51;0.05;2.6;NA
0.22;0.05;0.52;0.05;2.79;NA
0.22;0.05;0.52;0.05;2.52;NA
0.23;0.05;0.53;0.05;2.58;NA
0.23;0.05;0.53;0.05;2.78;NA
0.22;0.05;0.51;0.05;2.69;NA
0.23;0.05;0.54;0.05;2.77;NA
0.23;0.05;0.52;0.05;2.7;NA
0.22;0.05;0.52;0.05;2.78;NA
0.22;0.05;0.52;0.05;2.57;NA
0.23;0.05;0.53;0.05;2.6;NA
0.23;0.05;0.53;0.05;2.6;NA
0.22;0.05;0.51;0.05;2.53;NA
0.22;0.05;0.52;0.05;2.72;NA
0.23;0.05;0.53;0.05;2.59;NA
0.23;0.05;0.54;0.05;2.6;NA
0.21;0.05;0.49;0.05;2.6;NA
0.22;0.05;0.52;0.05;2.58;NA
0.23;0.05;0.55;0.05;2.7;NA
0.23;0.05;0.53;0.05;2.8;NA
0.22;0.05;0.53;0.05;2.6;NA
0.22;0.05;0.52;0.05;2.59;NA
0.22;0.05;0.51;0.05;2.66;NA
0.22;0.05;0.5;0.05;2.13;NA
0.22;0.05;0.51;0.05;2.7;NA
0.22;0.05;0.53;0.05;2.8;NA
0.23;0.05;0.54;0.05;2.75;NA
0.22;0.05;0.5;0.05;2.14;NA
0.22;0.05;0.51;0.05;2.73;NA
0.22;0.05;0.51;0.05;2.5;NA
0.22;0.05;0.51;0.05;2.8;NA
0.23;0.05;0.54;0.05;3.54;NA
0.24;0.05;0.56;0.05;2.77;NA
0.22;0.05;0.51;0.05;2.6;NA
0.22;0.05;0.51;0.05;2.6;NA
0.23;0.05;0.52;0.05;2.6;NA
0.23;0.05;0.53;0.05;3.19;NA
0.22;0.05;0.52;0.05;2.66;NA
0.23;0.05;0.54;0.05;2.65;NA
0.23;0.05;0.55;0.05;3.3;NA
0.24;0.05;0.56;0.05;3.39;NA
0.22;0.05;0.51;0.05;2.38;NA
0.23;0.05;0.53;0.05;2.78;NA
0.23;0.05;0.54;0.05;2.79;NA
0.22;0.05;0.51;0.05;2.34;NA
0.22;0.05;0.51;0.05;2.69;NA
0.22;0.05;0.52;0.05;2.66;NA
0.22;0.05;0.53;0.05;2.57;NA
