"mean";"median";"sd";"best";"worst";"score"
1.63;1.7;0.3;0.06;2.72;NA
1.52;1.7;0.35;0.06;2.59;NA
1.38;1.65;0.45;0.06;2.43;NA
1.19;1.13;0.52;0;2.71;NA
0.95;1;0.51;0;2.55;NA
0.73;0.78;0.5;0;2.8;NA
0.56;0.39;0.53;0;2.67;NA
0.4;0.14;0.51;0;2.54;NA
0.28;0.08;0.52;0;2.43;NA
0.23;0.07;0.49;0;3.42;NA
0.22;0.05;0.51;0;2.56;NA
0.21;0.04;0.52;0;2.65;NA
0.21;0.03;0.53;0;3.31;NA
0.2;0.03;0.52;0;2.75;NA
0.2;0.03;0.53;0;2.77;NA
0.2;0.03;0.53;0;2.63;NA
0.19;0.03;0.52;0;2.59;NA
0.18;0;0.51;0;2.78;NA
0.18;0;0.54;0;2.8;NA
0.18;0;0.54;0;2.82;NA
0.18;0;0.55;0;2.49;NA
0.18;0;0.54;0;2.63;NA
0.17;0;0.53;0;2.8;NA
0.18;0;0.55;0;2.8;NA
0.17;0;0.51;0;1.9;NA
0.17;0;0.52;0;2.38;NA
0.18;0;0.54;0;2.41;NA
0.17;0;0.52;0;2.18;NA
0.18;0;0.54;0;2.66;NA
0.18;0;0.54;0;2.59;NA
0.18;0;0.53;0;2.55;NA
0.17;0;0.54;0;2.75;NA
0.18;0;0.54;0;2.56;NA
0.18;0;0.54;0;2.62;NA
0.17;0;0.53;0;2.79;NA
0.19;0;0.58;0;2.7;NA
0.17;0;0.52;0;2.54;NA
0.17;0;0.53;0;2.7;NA
0.17;0;0.53;0;2.6;NA
0.18;0;0.53;0;2.1;NA
0.18;0;0.54;0;2.6;NA
0.18;0;0.55;0;2.75;NA
0.17;0;0.53;0;2.44;NA
0.18;0;0.56;0;3.34;NA
0.18;0;0.56;0;3.29;NA
0.18;0;0.56;0;2.7;NA
0.17;0;0.52;0;2.71;NA
0.17;0;0.52;0;2.59;NA
0.17;0;0.53;0;2.4;NA
0.17;0;0.52;0;2.53;NA
0.18;0;0.54;0;2.63;NA
0.18;0;0.54;0;2.56;NA
0.17;0;0.52;0;2.58;NA
0.19;0;0.57;0;2.79;NA
0.17;0;0.53;0;2.66;NA
0.18;0;0.54;0;2.58;NA
0.17;0;0.53;0;3.25;NA
0.18;0;0.53;0;2.56;NA
0.18;0;0.54;0;2.59;NA
0.18;0;0.53;0;2.59;NA
0.18;0;0.54;0;2.79;NA
0.18;0;0.54;0;2.6;NA
0.17;0;0.51;0;2.13;NA
0.18;0;0.55;0;2.78;NA
0.17;0;0.53;0;2.57;NA
0.17;0;0.53;0;2.65;NA
0.18;0;0.55;0;2.74;NA
0.18;0;0.56;0;2.75;NA
0.17;0;0.51;0;2.2;NA
0.18;0;0.54;0;2.69;NA
0.17;0;0.52;0;2.65;NA
0.19;0;0.58;0;3.42;NA
0.18;0;0.55;0;2.49;NA
0.18;0;0.54;0;2.6;NA
0.17;0;0.52;0;2.61;NA
0.17;0;0.53;0;3.35;NA
0.17;0;0.53;0;2.72;NA
0.19;0;0.56;0;2.6;NA
0.18;0;0.54;0;2.92;NA
0.17;0;0.52;0;2.6;NA
0.18;0;0.53;0;2.94;NA
0.17;0;0.53;0;2.5;NA
0.17;0;0.52;0;2.47;NA
0.18;0;0.53;0;2.7;NA
0.18;0;0.56;0;2.79;NA
0.18;0;0.55;0;2.79;NA
0.17;0;0.53;0;3.02;NA
0.18;0;0.54;0;2.57;NA
0.17;0;0.53;0;2.78;NA
0.18;0;0.55;0;2.8;NA
0.18;0;0.54;0;2.84;NA
0.17;0;0.53;0;2.47;NA
0.18;0;0.55;0;2.78;NA
0.18;0;0.54;0;3.15;NA
0.18;0;0.54;0;2.8;NA
0.17;0;0.53;0;2.64;NA
0.17;0;0.53;0;2.79;NA
0.18;0;0.54;0;2.65;NA
0.18;0;0.54;0;2.61;NA
0.18;0;0.54;0;2.65;NA
