"mean";"median";"sd";"best";"worst";"score"
1.61;1.7;0.29;0.1;2.6;NA
1.5;1.7;0.35;0.06;2.59;NA
1.4;1.6;0.4;0;2.64;NA
1.24;1.26;0.43;0;2.56;NA
1.06;1;0.44;0;3.08;NA
0.88;0.84;0.44;0;2.68;NA
0.74;0.72;0.46;0;2.69;NA
0.61;0.7;0.48;0;2.69;NA
0.48;0.41;0.51;0;2.7;NA
0.35;0.08;0.52;0;2.5;NA
0.24;0.03;0.54;0;2.69;NA
0.2;0.01;0.54;0;3.18;NA
0.18;0.01;0.53;0;2.53;NA
0.17;0.01;0.52;0;2.56;NA
0.18;0;0.54;0;2.63;NA
0.18;0;0.53;0;2.65;NA
0.18;0;0.55;0;2.6;NA
0.18;0;0.52;0;2.6;NA
0.18;0;0.52;0;2.59;NA
0.18;0;0.53;0;2.9;NA
0.18;0;0.53;0;3.34;NA
0.17;0;0.52;0;2.8;NA
0.18;0;0.53;0;2.8;NA
0.18;0;0.54;0;2.78;NA
0.18;0;0.55;0;3.03;NA
0.18;0;0.53;0;2.57;NA
0.17;0;0.52;0;2.55;NA
0.17;0;0.52;0;2.71;NA
0.18;0;0.53;0;2.54;NA
0.18;0;0.54;0;2.59;NA
0.19;0;0.56;0;2.7;NA
0.18;0;0.54;0;2.74;NA
0.18;0;0.52;0;2.57;NA
0.18;0;0.54;0;2.73;NA
0.18;0;0.55;0;2.75;NA
0.18;0;0.54;0;2.98;NA
0.18;0;0.53;0;2.69;NA
0.18;0;0.52;0;2.31;NA
0.18;0;0.54;0;2.6;NA
0.18;0;0.54;0;2.6;NA
0.18;0;0.55;0;2.59;NA
0.18;0;0.53;0;2.59;NA
0.18;0;0.55;0;2.75;NA
0.18;0;0.53;0;2.54;NA
0.19;0;0.55;0;2.58;NA
0.17;0;0.52;0;2.17;NA
0.19;0;0.57;0;2.99;NA
0.18;0;0.53;0;2.53;NA
0.19;0;0.55;0;2.79;NA
0.18;0;0.53;0;2.6;NA
0.18;0;0.53;0;2.58;NA
0.18;0;0.53;0;2.77;NA
0.17;0;0.51;0;2.29;NA
0.18;0;0.52;0;2.6;NA
0.18;0;0.53;0;2.7;NA
0.17;0;0.51;0;2.03;NA
0.17;0;0.52;0;2.67;NA
0.18;0;0.53;0;2.6;NA
0.18;0;0.53;0;2.59;NA
0.18;0;0.55;0;2.68;NA
0.19;0;0.56;0;2.65;NA
0.18;0;0.55;0;2.69;NA
0.18;0;0.54;0;2.81;NA
0.18;0;0.55;0;2.7;NA
0.17;0;0.52;0;2.55;NA
0.18;0;0.53;0;2.55;NA
0.18;0;0.54;0;2.72;NA
0.17;0;0.52;0;2.36;NA
0.18;0;0.54;0;2.7;NA
0.18;0;0.55;0;2.6;NA
0.18;0;0.54;0;2.8;NA
0.18;0;0.54;0;2.58;NA
0.18;0;0.55;0;2.68;NA
0.18;0;0.53;0;2.7;NA
0.18;0;0.53;0;2.63;NA
0.19;0;0.56;0;2.92;NA
0.18;0;0.53;0;2.84;NA
0.18;0;0.54;0;2.63;NA
0.18;0;0.52;0;2.37;NA
0.17;0;0.51;0;2.28;NA
0.17;0;0.52;0;1.97;NA
0.18;0;0.54;0;2.7;NA
0.18;0;0.53;0;2.79;NA
0.18;0;0.53;0;2.66;NA
0.18;0;0.54;0;2.66;NA
0.18;0;0.54;0;2.75;NA
0.18;0;0.54;0;2.6;NA
0.18;0;0.54;0;2.55;NA
0.18;0;0.54;0;2.8;NA
0.19;0;0.56;0;2.8;NA
0.18;0;0.55;0;3.04;NA
0.18;0;0.55;0;2.78;NA
0.17;0;0.52;0;2.62;NA
0.18;0;0.53;0;2.46;NA
0.18;0;0.54;0;3.59;NA
0.18;0;0.54;0;2.92;NA
0.17;0;0.5;0;2.23;NA
0.18;0;0.53;0;2.4;NA
0.18;0;0.54;0;2.6;NA
0.18;0;0.54;0;3.46;NA
