"mean";"median";"sd";"best";"worst";"score"
1.63;1.7;0.27;0.24;2.55;NA
1.52;1.7;0.34;0.09;2.59;NA
1.4;1.65;0.41;0.09;3.43;NA
1.24;1.24;0.46;0.07;2.74;NA
1.03;1.04;0.45;0;1.95;NA
0.84;0.87;0.47;0;2.58;NA
0.67;0.72;0.49;0;2.66;NA
0.52;0.34;0.51;0;2.57;NA
0.38;0.19;0.52;0;2.85;NA
0.28;0.12;0.5;0;2.57;NA
0.23;0.05;0.51;0;2.74;NA
0.21;0.02;0.55;0;2.96;NA
0.19;0.01;0.53;0;2.77;NA
0.18;0.01;0.53;0;2.2;NA
0.18;0;0.53;0;2.56;NA
0.18;0;0.55;0;2.57;NA
0.17;0;0.52;0;2.55;NA
0.18;0;0.54;0;2.47;NA
0.18;0;0.54;0;2.61;NA
0.17;0;0.53;0;2.58;NA
0.18;0;0.54;0;2.63;NA
0.17;0;0.52;0;2.45;NA
0.17;0;0.52;0;2.51;NA
0.18;0;0.54;0;2.66;NA
0.18;0;0.55;0;2.74;NA
0.18;0;0.55;0;2.55;NA
0.17;0;0.51;0;2.62;NA
0.18;0;0.55;0;2.8;NA
0.18;0;0.53;0;2.85;NA
0.17;0;0.53;0;3.06;NA
0.18;0;0.54;0;2.58;NA
0.18;0;0.55;0;2.75;NA
0.18;0;0.53;0;2.69;NA
0.18;0;0.54;0;2.45;NA
0.18;0;0.54;0;2.52;NA
0.17;0;0.52;0;2.11;NA
0.17;0;0.52;0;2.47;NA
0.17;0;0.52;0;2.7;NA
0.17;0;0.51;0;3.27;NA
0.18;0;0.54;0;2.33;NA
0.18;0;0.55;0;2.76;NA
0.17;0;0.53;0;2.75;NA
0.18;0;0.53;0;2.13;NA
0.17;0;0.52;0;2.42;NA
0.18;0;0.56;0;2.6;NA
0.18;0;0.53;0;2.55;NA
0.18;0;0.56;0;3.23;NA
0.18;0;0.54;0;2.62;NA
0.18;0;0.54;0;2.57;NA
0.17;0;0.53;0;2.34;NA
0.18;0;0.55;0;2.6;NA
0.18;0;0.53;0;2.67;NA
0.17;0;0.51;0;2.15;NA
0.17;0;0.53;0;2.48;NA
0.18;0;0.55;0;2.6;NA
0.17;0;0.52;0;2.57;NA
0.18;0;0.53;0;2.65;NA
0.18;0;0.56;0;2.92;NA
0.17;0;0.52;0;2.48;NA
0.18;0;0.54;0;2.68;NA
0.18;0;0.54;0;2.57;NA
0.17;0;0.53;0;2.5;NA
0.18;0;0.55;0;2.76;NA
0.18;0;0.55;0;2.69;NA
0.18;0;0.54;0;2.75;NA
0.18;0;0.54;0;2.68;NA
0.17;0;0.52;0;2.57;NA
0.18;0;0.53;0;3.21;NA
0.18;0;0.53;0;2.22;NA
0.18;0;0.54;0;2.75;NA
0.18;0;0.54;0;2.55;NA
0.18;0;0.53;0;2.62;NA
0.18;0;0.54;0;2.62;NA
0.18;0;0.54;0;2.79;NA
0.18;0;0.54;0;3.06;NA
0.17;0;0.51;0;2.24;NA
0.18;0;0.55;0;2.67;NA
0.18;0;0.54;0;2.58;NA
0.17;0;0.51;0;2.41;NA
0.18;0;0.55;0;2.67;NA
0.18;0;0.55;0;3.11;NA
0.19;0;0.57;0;2.7;NA
0.18;0;0.53;0;2.61;NA
0.18;0;0.55;0;2.8;NA
0.18;0;0.54;0;3.06;NA
0.18;0;0.55;0;2.6;NA
0.18;0;0.54;0;2.66;NA
0.18;0;0.54;0;2.77;NA
0.18;0;0.55;0;2.8;NA
0.18;0;0.55;0;3.52;NA
0.17;0;0.53;0;2.47;NA
0.18;0;0.54;0;2.94;NA
0.17;0;0.52;0;2.59;NA
0.17;0;0.52;0;2.66;NA
0.18;0;0.53;0;2.89;NA
0.17;0;0.52;0;2.6;NA
0.17;0;0.52;0;2.52;NA
0.17;0;0.52;0;2.7;NA
0.17;0;0.53;0;2.58;NA
0.17;0;0.52;0;2.5;NA
