"mean";"median";"sd";"best";"worst";"score"
1.61;1.7;0.31;0.16;2.71;NA
1.49;1.7;0.36;0.16;2.59;NA
1.34;1.5;0.43;0.14;2.81;NA
1.17;1.08;0.42;0.13;2.05;NA
0.98;0.83;0.4;0.13;2.8;NA
0.84;0.79;0.38;0.08;2.67;NA
0.75;0.72;0.41;0.08;2.8;NA
0.66;0.71;0.44;0.08;2.49;NA
0.56;0.65;0.49;0.08;2.59;NA
0.44;0.17;0.49;0.08;2.28;NA
0.34;0.16;0.52;0.08;2.6;NA
0.28;0.12;0.51;0.08;2.48;NA
0.26;0.09;0.5;0.08;2.27;NA
0.25;0.08;0.51;0.08;2.7;NA
0.25;0.08;0.53;0.08;3.03;NA
0.25;0.08;0.52;0.08;3.24;NA
0.25;0.08;0.53;0.08;2.8;NA
0.25;0.08;0.52;0.08;2.53;NA
0.24;0.08;0.51;0.08;2.55;NA
0.25;0.08;0.52;0.08;2.59;NA
0.25;0.08;0.52;0.08;2.59;NA
0.25;0.08;0.52;0.08;2.42;NA
0.24;0.08;0.51;0.08;2.76;NA
0.24;0.08;0.5;0.08;2.68;NA
0.25;0.08;0.51;0.08;2.37;NA
0.25;0.08;0.53;0.08;2.69;NA
0.25;0.08;0.53;0.08;2.59;NA
0.24;0.08;0.52;0.08;2.78;NA
0.25;0.08;0.52;0.08;2.69;NA
0.24;0.08;0.51;0.08;2.79;NA
0.24;0.08;0.51;0.08;2.6;NA
0.25;0.08;0.54;0.08;2.84;NA
0.24;0.08;0.5;0.08;2.58;NA
0.25;0.08;0.53;0.08;2.86;NA
0.24;0.08;0.51;0.08;2.7;NA
0.24;0.08;0.49;0.08;2.37;NA
0.25;0.08;0.54;0.08;2.81;NA
0.25;0.08;0.52;0.08;2.77;NA
0.25;0.08;0.52;0.08;2.74;NA
0.24;0.08;0.5;0.08;2.67;NA
0.25;0.08;0.54;0.08;2.79;NA
0.25;0.08;0.52;0.08;2.74;NA
0.25;0.08;0.52;0.08;2.6;NA
0.24;0.08;0.51;0.08;2.57;NA
0.25;0.08;0.52;0.08;3.26;NA
0.24;0.08;0.5;0.08;2.11;NA
0.25;0.08;0.51;0.08;2.51;NA
0.25;0.08;0.52;0.08;2.7;NA
0.25;0.08;0.52;0.08;2.54;NA
0.24;0.08;0.51;0.08;2.74;NA
0.24;0.08;0.5;0.08;2.6;NA
0.25;0.08;0.52;0.08;2.58;NA
0.24;0.08;0.5;0.08;2.18;NA
0.25;0.08;0.54;0.08;2.8;NA
0.24;0.08;0.51;0.08;2.66;NA
0.24;0.08;0.49;0.08;2.62;NA
0.24;0.08;0.5;0.08;2.74;NA
0.24;0.08;0.51;0.08;2.52;NA
0.24;0.08;0.5;0.08;2.68;NA
0.25;0.08;0.53;0.08;2.6;NA
0.24;0.08;0.51;0.08;2.59;NA
0.24;0.08;0.5;0.08;2.51;NA
0.25;0.08;0.53;0.08;2.6;NA
0.25;0.08;0.51;0.08;2.6;NA
0.25;0.08;0.52;0.08;2.58;NA
0.25;0.08;0.54;0.08;2.8;NA
0.24;0.08;0.5;0.08;2.91;NA
0.25;0.08;0.53;0.08;2.77;NA
0.24;0.08;0.51;0.08;2.6;NA
0.25;0.08;0.54;0.08;2.76;NA
0.24;0.08;0.5;0.08;2.43;NA
0.25;0.08;0.53;0.08;2.89;NA
0.25;0.08;0.53;0.08;2.69;NA
0.25;0.08;0.52;0.08;2.56;NA
0.25;0.08;0.51;0.08;2.6;NA
0.25;0.08;0.54;0.08;3.49;NA
0.25;0.08;0.52;0.08;2.62;NA
0.25;0.08;0.53;0.08;3.49;NA
0.24;0.08;0.5;0.08;2.64;NA
0.25;0.08;0.52;0.08;2.69;NA
0.25;0.08;0.54;0.08;3.18;NA
0.25;0.08;0.52;0.08;2.59;NA
0.25;0.08;0.53;0.08;2.7;NA
0.24;0.08;0.5;0.08;2.59;NA
0.24;0.08;0.51;0.08;2.54;NA
0.24;0.08;0.5;0.08;2.35;NA
0.25;0.08;0.52;0.08;2.58;NA
0.24;0.08;0.52;0.08;2.8;NA
0.26;0.08;0.55;0.08;3.3;NA
0.24;0.08;0.51;0.08;3.33;NA
0.25;0.08;0.53;0.08;2.61;NA
0.25;0.08;0.52;0.08;2.8;NA
0.25;0.08;0.52;0.08;2.92;NA
0.25;0.08;0.52;0.08;2.57;NA
0.24;0.08;0.51;0.08;2.61;NA
0.24;0.08;0.5;0.08;2.57;NA
0.24;0.08;0.5;0.08;3.1;NA
0.24;0.08;0.49;0.05;2.54;NA
0.25;0.08;0.53;0.05;2.97;NA
0.25;0.08;0.52;0.05;3.06;NA
