"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"0.00231113236224974";"100";"4.79";"0";"19.25"
"1";"hc";"aic";"0.0114666696040001";"100";"4.64";"0.01";"19.01"
"1";"hc";"bic";"0.000748676182640625";"100";"4.27";"0";"17.84"
"1";"hc";"bds";"0.000325993877015626";"100";"4.91";"0";"19.68"
"1";"tabu";"k2";"0.00919903589889071";"100";"4.55";"0.01";"18.27"
"1";"tabu";"aic";"0.00330822918400021";"100";"4.32";"0";"17.42"
"1";"tabu";"bic";"0.00137698722024985";"100";"5.02";"0";"19.23"
"1";"tabu";"bds";"0.00205511270400001";"100";"4.85";"0";"18.98"
"2";"hc";"k2";"0.000211850116000015";"100";"5.24";"0";"21.07"
"2";"hc";"aic";"7.6947950249978e-05";"100";"4.24";"0";"17.09"
"2";"hc";"bic";"1.56124802500058e-05";"100";"4.13";"0";"17.88"
"2";"hc";"bds";"3.27441832656184e-05";"100";"3.94";"0";"16.66"
"2";"tabu";"k2";"0.00472635868164064";"100";"4.58";"0";"18.68"
"2";"tabu";"aic";"4.40088602499909e-05";"100";"5.16";"0";"19.85"
"2";"tabu";"bic";"2.00179526406256e-05";"100";"4.75";"0";"18.53"
"2";"tabu";"bds";"0.000135282182640635";"100";"3.99";"0";"17.18"
"3";"hc";"k2";"0.00526285826139062";"100";"6.53";"0.01";"24.65"
"3";"hc";"aic";"0.000630561350250002";"100";"5.52";"0";"21.22"
"3";"hc";"bic";"0.000123177620249999";"100";"5.19";"0";"20.89"
"3";"hc";"bds";"0.00137389641024993";"100";"4.94";"0";"19.16"
"3";"tabu";"k2";"0.00526285826139062";"100";"4.76";"0.01";"19.15"
"3";"tabu";"aic";"0.00526285826139062";"100";"4.67";"0.01";"18.49"
"3";"tabu";"bic";"0.000138928097640616";"100";"4.72";"0";"19.24"
"3";"tabu";"bds";"0.00495878167814067";"100";"4.99";"0.01";"19.53"
"4";"hc";"k2";"0.000948768510015576";"100";"4.91";"0";"20.15"
"4";"hc";"aic";"0.00123394209876553";"100";"4.47";"0";"17.49"
"4";"hc";"bic";"0.000138928097640616";"100";"5.07";"0";"19.52"
"4";"hc";"bds";"0.000825306985140639";"100";"6.1";"0";"23.28"
"4";"tabu";"k2";"0.00690947078399989";"100";"5.27";"0.01";"19.83"
"4";"tabu";"aic";"0.000143138594390612";"100";"6.48";"0";"24.4"
"4";"tabu";"bic";"4.07392012656283e-05";"100";"4.77";"0";"19.27"
"4";"tabu";"bds";"0.000442662990250016";"100";"5.61";"0";"22.54"
"5";"hc";"k2";"0.000888062439390633";"100";"4.57";"0";"18.55"
"5";"hc";"aic";"0.000588358572015599";"100";"5.04";"0";"20"
"5";"hc";"bic";"0.000552486167640618";"100";"4.74";"0";"18.86"
"5";"hc";"bds";"0.000340942578890602";"100";"4.89";"0";"19.31"
"5";"tabu";"k2";"0.00596878663224961";"100";"4.84";"0.01";"19.22"
"5";"tabu";"aic";"0.0019803464102499";"100";"5.44";"0";"21.72"
"5";"tabu";"bic";"4.50720360000081e-05";"100";"4.52";"0";"18.2"
"5";"tabu";"bds";"0.000515741956000002";"100";"4.76";"0";"19.02"
"6";"hc";"k2";"0.000400096348140608";"100";"4.14";"0.01";"17.14"
"6";"hc";"aic";"0.000190703843999946";"100";"4.3";"0";"16.49"
"6";"hc";"bic";"0.000123850116000013";"100";"4.98";"0";"19.44"
"6";"hc";"bds";"5.91030122500279e-05";"100";"4.62";"0";"18.77"
"6";"tabu";"k2";"0.00595687077025002";"100";"4.94";"0.01";"19.35"
"6";"tabu";"aic";"0.000791918447265731";"100";"3.09";"0";"14.27"
"6";"tabu";"bic";"9.31311024999576e-06";"100";"4.39";"0";"17.79"
"6";"tabu";"bds";"0.000190929117015639";"100";"4.9";"0";"18.27"
"7";"hc";"k2";"0.00277842905701562";"100";"4.61";"0";"17.62"
"7";"hc";"aic";"0.00125520554025";"100";"4.42";"0";"16.71"
"7";"hc";"bic";"0.000708634623999969";"100";"4.88";"0";"19.89"
