"mean";"median";"sd";"best";"worst";"score"
25.59;19.26;22.9;0.02;116.56;NA
16.09;11.64;20.42;0.02;177.16;NA
10.95;5.63;19.58;0.02;116.56;NA
8.06;2.74;18.69;0;116.56;NA
7.22;1.63;21.42;0;144.18;NA
5.96;1.51;19.55;0;175.75;NA
4.85;0.52;17.43;0;116.56;NA
6.12;0.27;20.99;0;116.56;NA
5.27;0.1;20.55;0;129.51;NA
5.73;0.04;21.88;0;124.17;NA
5.85;0.03;23.61;0;159.17;NA
4.11;0.02;17.35;0;116.56;NA
4.46;0.01;17.5;0;127.15;NA
5.5;0;20.52;0;116.56;NA
4.47;0;18.57;0;180.84;NA
4.6;0;18.6;0;139.36;NA
5.11;0;20.64;0;138.81;NA
5.38;0;20.78;0;117.93;NA
5.44;0;20.8;0;129;NA
6.16;0;22.83;0;116.56;NA
5.43;0;21.24;0;173.57;NA
4.96;0;20.47;0;123.98;NA
3.88;0;15.73;0;116.56;NA
4.85;0;20.46;0;116.56;NA
4.16;0;17.26;0;118.43;NA
5.69;0;22.13;0;194.82;NA
4.37;0;17.69;0;116.56;NA
5.49;0;21.98;0;116.56;NA
6.27;0;23.5;0;116.56;NA
4.25;0;17.87;0;155.03;NA
4.4;0;17.17;0;116.56;NA
4.85;0;19.82;0;157.22;NA
5.4;0;21.4;0;116.56;NA
5.14;0;20.42;0;124.17;NA
4.67;0;18.51;0;122.21;NA
4.41;0;17.7;0;116.56;NA
5.32;0;20.83;0;116.56;NA
5.41;0;20.41;0;119.68;NA
4.29;0;17.42;0;116.56;NA
5.33;0;21.14;0;120.12;NA
4.64;0;19.27;0;148.57;NA
3.86;0;17.27;0;126.82;NA
6.01;0;22.47;0;130.79;NA
4.67;0;18.37;0;116.56;NA
4.63;0;18.42;0;116.56;NA
4.64;0;18.16;0;116.56;NA
5;0;19.63;0;133.07;NA
4.99;0;19.09;0;116.56;NA
4.56;0;18.02;0;125.98;NA
4.76;0;19.42;0;144.99;NA
5.36;0;21.37;0;128.5;NA
4.91;0;19.95;0;132.19;NA
5.18;0;20.76;0;116.56;NA
4.35;0;17.47;0;116.56;NA
5.38;0;20.91;0;119.68;NA
4.89;0;19.97;0;116.56;NA
5.44;0;21.37;0;125.83;NA
5.12;0;20;0;133.73;NA
3.91;0;17.12;0;118.93;NA
5.9;0;22.72;0;117.59;NA
4.8;0;18.53;0;118.53;NA
4.94;0;19.22;0;119.26;NA
4.54;0;18.15;0;124;NA
4.08;0;16.98;0;120.12;NA
4.49;0;17.68;0;130.41;NA
6.05;0;23.5;0;165.86;NA
5.01;0;19.67;0;116.56;NA
4.16;0;17.87;0;116.56;NA
6.2;0;22.76;0;129.68;NA
4.48;0;17.61;0;116.56;NA
5.16;0;20.49;0;180.82;NA
5.73;0;21.38;0;116.56;NA
3.85;0;14.81;0;116.56;NA
5.07;0;20.6;0;157.7;NA
5.12;0;19.74;0;123.02;NA
5.27;0;20.27;0;127.82;NA
3.47;0;14.24;0;116.56;NA
4.37;0;17.84;0;129.34;NA
4.93;0;18.99;0;116.56;NA
5.08;0;19.81;0;116.56;NA
5.74;0;22.92;0;177.01;NA
5.33;0;21.04;0;116.56;NA
4.19;0;17.34;0;116.56;NA
4.92;0;20.44;0;118.99;NA
4.44;0;18.87;0;130.63;NA
4.97;0;20.21;0;116.56;NA
5.81;0;22.35;0;153.64;NA
4.54;0;18.5;0;117.27;NA
5.5;0;21.45;0;149.69;NA
5.39;0;21.57;0;152.66;NA
4.41;0;18.23;0;116.56;NA
4.33;0;17.3;0;116.56;NA
4.67;0;18.65;0;149.55;NA
4.5;0;18.63;0;116.56;NA
4.43;0;18.5;0;116.56;NA
4.93;0;19.77;0;119.3;NA
5.67;0;21.58;0;116.56;NA
4.5;0;17.73;0;116.56;NA
4.8;0;19.55;0;116.56;NA
4.3;0;16.49;0;116.56;NA
