"mean";"median";"sd";"best";"worst";"score"
24.52;18.62;23.68;0;116.56;NA
16.04;11.46;22.57;0;167.39;NA
10.56;4.17;20.83;0;202.98;NA
8.03;2.39;19.62;0;118.77;NA
5.86;1.78;16.73;0;116.56;NA
6.42;1.54;19.12;0;116.56;NA
6.25;1.13;20.8;0;116.56;NA
5.44;0.72;18.65;0;116.56;NA
5.17;0.56;19.04;0;116.56;NA
5.12;0.35;19.1;0;137.98;NA
5.29;0.24;19.77;0;116.56;NA
5.65;0.15;21.97;0;215.52;NA
5.3;0.09;20.18;0;116.56;NA
5.02;0.05;18.93;0;125.58;NA
5.39;0.03;20.65;0;147.23;NA
4.7;0.02;17.42;0;116.56;NA
4.88;0.02;18.95;0;128.83;NA
5.1;0.01;20.24;0;153.28;NA
4.33;0.01;16.9;0;116.56;NA
5.1;0;21.52;0;191.09;NA
4.53;0;19.12;0;197.14;NA
5.63;0;21.72;0;116.56;NA
5.75;0;22.02;0;156.64;NA
5.4;0;21.52;0;145.37;NA
4.98;0;18.48;0;124.54;NA
5.06;0;19.78;0;116.56;NA
5.72;0;21.9;0;116.56;NA
4.38;0;18.83;0;116.56;NA
5.1;0;19.83;0;116.56;NA
3.94;0;15.68;0;117.07;NA
4.02;0;17.15;0;116.56;NA
4.6;0;18.69;0;116.56;NA
5.17;0;20.66;0;117.26;NA
5.24;0;21.11;0;191.82;NA
4.15;0;16.98;0;116.56;NA
4.56;0;18.33;0;134.36;NA
4.9;0;19.55;0;116.56;NA
4.84;0;19.91;0;119.3;NA
4.28;0;17.57;0;116.56;NA
5.18;0;19.76;0;116.56;NA
4.95;0;19.55;0;116.56;NA
5.04;0;20.76;0;189.36;NA
4.5;0;18.76;0;135.38;NA
4.76;0;18.99;0;116.56;NA
3.98;0;16.45;0;116.56;NA
6.19;0;23.85;0;148.53;NA
5.03;0;20.82;0;125.5;NA
5.79;0;22.16;0;203.94;NA
4.15;0;17.68;0;125.98;NA
4.27;0;17.77;0;116.56;NA
4.52;0;18.09;0;117.59;NA
4.08;0;16.78;0;116.56;NA
5.22;0;20.04;0;116.56;NA
5.87;0;23.01;0;165.04;NA
5.46;0;20.49;0;116.56;NA
5.8;0;23.13;0;169.21;NA
5.36;0;21.01;0;116.56;NA
4.81;0;18.65;0;116.56;NA
5.18;0;20.18;0;126.15;NA
5.1;0;20.03;0;129.76;NA
4.48;0;19.05;0;148.3;NA
5.43;0;21.34;0;120.92;NA
5.06;0;20.39;0;161.78;NA
4.28;0;17.41;0;116.56;NA
5.05;0;20.19;0;133.93;NA
4.26;0;17.26;0;116.56;NA
5.12;0;19.59;0;120.6;NA
5.26;0;20.12;0;116.8;NA
3.76;0;14.99;0;147.12;NA
4.78;0;18.99;0;116.56;NA
5.31;0;20.5;0;116.56;NA
4.9;0;19.64;0;122.37;NA
3.94;0;16.11;0;116.56;NA
4;0;17.53;0;116.56;NA
4.07;0;17.59;0;116.56;NA
4.75;0;19;0;116.56;NA
5.03;0;19.91;0;116.56;NA
4.37;0;18.67;0;116.56;NA
5.13;0;19.71;0;147.41;NA
5.44;0;21.51;0;123.19;NA
4.73;0;18.68;0;116.56;NA
6;0;22.27;0;157.84;NA
4.62;0;18.98;0;116.56;NA
4.59;0;19.09;0;116.56;NA
4.93;0;19.17;0;129.79;NA
3.8;0;15.25;0;116.56;NA
4.93;0;19.36;0;116.56;NA
4.62;0;18.69;0;123.32;NA
4.96;0;19.26;0;129.17;NA
4.48;0;18.9;0;116.56;NA
5.91;0;22.68;0;133.31;NA
5.1;0;19.78;0;116.56;NA
4.7;0;19.16;0;122.05;NA
4.26;0;17.69;0;152.58;NA
4.25;0;17.72;0;116.56;NA
3.98;0;16.11;0;116.56;NA
5.23;0;20.13;0;128.5;NA
4.26;0;17.84;0;116.56;NA
4.2;0;17.16;0;118.56;NA
3.94;0;16.66;0;121.4;NA
