"mean";"median";"sd";"best";"worst";"score"
22.43;14.62;22.25;0.03;118.12;NA
13.7;9.2;19.48;0.02;161.72;NA
9.88;4.42;18.18;0.01;126.22;NA
7.86;2.65;19.08;0.01;124.66;NA
6.12;1.89;17.75;0;116.56;NA
6.16;1.57;18.93;0;116.56;NA
6.12;1.52;20.71;0;159.53;NA
5.47;0.86;18.54;0;116.56;NA
4.88;0.3;17.73;0;129;NA
5.02;0.16;18.7;0;116.56;NA
4.52;0.06;18.48;0;141.46;NA
3.64;0.02;15.36;0;116.56;NA
4.97;0.01;19.37;0;116.56;NA
4.72;0;19.33;0;116.56;NA
5.16;0;19.76;0;116.56;NA
4.45;0;18.6;0;119.3;NA
3.86;0;14.77;0;116.56;NA
5.1;0;20.6;0;137.17;NA
4.03;0;18.03;0;157.02;NA
4.77;0;18.9;0;116.56;NA
5.42;0;21.08;0;135.2;NA
5.16;0;20.56;0;116.56;NA
5.03;0;20.24;0;122.05;NA
4.77;0;18.64;0;116.56;NA
4.5;0;18.16;0;116.56;NA
4.59;0;18.58;0;155.35;NA
3.82;0;15.77;0;116.56;NA
5;0;19.44;0;148.56;NA
3.85;0;16.09;0;116.56;NA
4.58;0;19.64;0;128.33;NA
6.32;0;23.13;0;116.56;NA
5.4;0;21.39;0;124.99;NA
5.48;0;19.88;0;116.56;NA
4.51;0;18.48;0;133.89;NA
4.66;0;18.92;0;116.56;NA
5.14;0;19.99;0;116.56;NA
4.15;0;17.71;0;116.56;NA
4.99;0;20.92;0;116.56;NA
4.1;0;16.92;0;126.99;NA
5.17;0;19.39;0;116.56;NA
5.34;0;21.1;0;119.01;NA
4.89;0;19.6;0;147.91;NA
4.52;0;19.21;0;152.3;NA
4.39;0;18.65;0;169.69;NA
3.52;0;15.17;0;116.56;NA
5.09;0;20.43;0;167.13;NA
5.26;0;19.61;0;116.56;NA
4.89;0;19.74;0;126.65;NA
5.4;0;22.1;0;201.36;NA
4.32;0;18.4;0;123.68;NA
5.8;0;21.71;0;126.65;NA
4.96;0;19.26;0;116.56;NA
4.78;0;19.27;0;116.56;NA
4.16;0;17.12;0;116.56;NA
5.48;0;21.3;0;125.3;NA
4.76;0;19.11;0;122.21;NA
4.49;0;20.07;0;199.39;NA
3.98;0;16.18;0;116.56;NA
5.47;0;20.76;0;116.56;NA
3.76;0;15.42;0;116.56;NA
5.03;0;19.77;0;116.56;NA
4.38;0;18.45;0;116.56;NA
4.66;0;18.12;0;116.56;NA
5.23;0;21.07;0;116.56;NA
5.18;0;20.25;0;120.61;NA
4.06;0;17.84;0;123.13;NA
4.94;0;20.1;0;117.48;NA
4.8;0;18.98;0;116.56;NA
4.58;0;18.61;0;116.56;NA
4.8;0;18.53;0;116.95;NA
4.76;0;19.83;0;116.56;NA
5.01;0;19.19;0;116.56;NA
4.74;0;19.1;0;121.08;NA
4.44;0;17.72;0;116.56;NA
4.89;0;19.08;0;116.56;NA
5.35;0;20.23;0;116.56;NA
4;0;16.77;0;147.53;NA
5.28;0;20.53;0;122;NA
4.75;0;19.05;0;116.56;NA
4.08;0;17.21;0;116.56;NA
3.72;0;16.6;0;124.17;NA
5.33;0;21.17;0;131.21;NA
4.2;0;18.1;0;116.56;NA
5.48;0;21.43;0;128.69;NA
4.68;0;17.96;0;116.56;NA
4.52;0;17.15;0;116.56;NA
4.86;0;18.84;0;116.56;NA
5.12;0;19.95;0;116.56;NA
4.57;0;18.81;0;126.91;NA
3.69;0;16.4;0;161.3;NA
5.21;0;20.91;0;155.65;NA
5.09;0;20.19;0;116.56;NA
5.43;0;20.19;0;117.69;NA
3.84;0;15.37;0;116.56;NA
5.39;0;20.88;0;137.43;NA
5.87;0;22.6;0;130.32;NA
4.45;0;17.4;0;116.56;NA
4.35;0;18.44;0;117.11;NA
4.34;0;18.57;0;132.83;NA
4.81;0;19.19;0;123.19;NA
