"mean";"median";"sd";"best";"worst";"score"
22.04;15.25;20.48;0.02;116.56;NA
13.38;8.43;18.3;0.02;120.6;NA
9.58;3.2;19.33;0.02;116.56;NA
6.76;1.85;18.05;0.02;116.56;NA
5.72;1.59;17.14;0.02;116.56;NA
5.97;1.5;19.76;0.01;116.56;NA
5.86;0.79;20.38;0.01;116.56;NA
5.4;0.26;20.15;0.01;158.42;NA
5.38;0.09;20.3;0.01;124.31;NA
4.91;0.05;19.24;0.01;116.56;NA
5.1;0.05;21.24;0.01;203.16;NA
4.58;0.05;18.25;0.01;116.56;NA
4.91;0.05;19.16;0.01;123.68;NA
5.24;0.03;21.94;0.01;178.76;NA
5.27;0.03;21.24;0.01;116.56;NA
5.25;0.01;20.43;0.01;116.56;NA
4.57;0.01;18.42;0.01;116.56;NA
5.14;0.01;20.37;0.01;133.85;NA
5.38;0.01;20.77;0.01;116.56;NA
4.58;0.01;18.94;0.01;116.56;NA
3.19;0.01;14.3;0.01;116.56;NA
4.64;0.01;18.26;0.01;116.56;NA
3.74;0.01;16.62;0.01;116.56;NA
4.67;0.01;18.81;0.01;116.56;NA
5.02;0.01;20.46;0.01;116.56;NA
4.79;0.01;18.99;0.01;126.15;NA
4.87;0.01;18.88;0.01;121.27;NA
4.71;0.01;19.14;0.01;116.56;NA
4.63;0.01;18.89;0.01;121.08;NA
4.36;0.01;17.79;0.01;116.56;NA
3.77;0.01;16.11;0.01;116.56;NA
4.72;0.01;19.16;0.01;119.87;NA
4.81;0.01;19.59;0.01;159.93;NA
4.88;0.01;18.99;0.01;116.56;NA
4.51;0.01;18.12;0.01;116.56;NA
3.75;0.01;16.22;0.01;116.56;NA
5.77;0.01;21.93;0.01;129.68;NA
4.23;0.01;17.01;0.01;116.56;NA
4.52;0.01;18.69;0.01;187.29;NA
4.14;0.01;17.74;0.01;116.56;NA
5.35;0.01;20.35;0.01;116.56;NA
4.9;0.01;19.39;0.01;119.38;NA
4.36;0.01;18.15;0.01;116.56;NA
4.57;0.01;19.26;0.01;143.25;NA
4.98;0.01;19.57;0.01;116.56;NA
4.26;0.01;18.51;0.01;116.56;NA
5.72;0.01;22.67;0.01;166.53;NA
4.32;0.01;16.74;0.01;116.56;NA
4.86;0.01;18.57;0.01;124.33;NA
4.76;0.01;18.96;0.01;141.83;NA
4.76;0.01;19.43;0.01;116.56;NA
4.64;0.01;17.9;0.01;116.56;NA
5;0.01;20.11;0.01;116.56;NA
4.92;0.01;19.49;0.01;116.56;NA
4.29;0.01;17.77;0.01;116.56;NA
4.96;0.01;19.58;0.01;159.85;NA
5.02;0.01;20.06;0.01;128.66;NA
5.77;0.01;21.96;0.01;124.1;NA
4.19;0.01;17.89;0.01;116.56;NA
5.14;0.01;19.9;0.01;123.19;NA
4.42;0.01;18.21;0.01;116.56;NA
5.43;0.01;21.09;0.01;120.6;NA
5.08;0.01;20.02;0.01;116.56;NA
4.94;0.01;20.34;0.01;142.18;NA
5.56;0.01;21.99;0.01;208.2;NA
4.2;0.01;17.24;0.01;119.18;NA
4.97;0.01;20.29;0.01;123.84;NA
5.33;0.01;20.96;0.01;118.69;NA
4.48;0.01;17.34;0.01;163.06;NA
4.63;0.01;18.76;0.01;116.56;NA
4.06;0.01;16.89;0.01;122.54;NA
5.28;0.01;20.94;0.01;171.56;NA
4.76;0.01;18.69;0.01;129.51;NA
4.42;0.01;17.23;0.01;116.56;NA
4.94;0.01;19.7;0.01;116.9;NA
4.25;0.01;16.69;0.01;117.11;NA
4.59;0.01;18.88;0.01;120.92;NA
4.98;0.01;19.46;0.01;124.56;NA
4.61;0.01;19.38;0.01;116.56;NA
5.26;0.01;21.73;0.01;190.73;NA
4.16;0.01;17.33;0.01;139.87;NA
4.5;0.01;17.63;0.01;127.82;NA
5.34;0.01;20.9;0.01;121.08;NA
4.74;0.01;19.28;0.01;116.56;NA
4.7;0.01;19.16;0.01;116.56;NA
4.84;0.01;19.52;0.01;116.56;NA
4.95;0.01;19.3;0.01;116.56;NA
4.28;0.01;16.65;0.01;124.14;NA
4.6;0.01;18.71;0.01;116.56;NA
4.49;0.01;17.54;0.01;145.56;NA
4.71;0.01;19.4;0.01;116.56;NA
4.62;0.01;18.67;0.01;118.92;NA
5.7;0.01;21.15;0.01;116.56;NA
5.2;0.01;20.42;0.01;116.56;NA
4.48;0.01;17.54;0.01;122.76;NA
5.06;0.01;19.62;0.01;116.56;NA
4.19;0.01;17.23;0.01;128.66;NA
5.67;0.01;22.35;0.01;156.8;NA
4.09;0.01;17.47;0.01;116.56;NA
4.75;0.01;18.79;0.01;116.56;NA
