"mean";"median";"sd";"best";"worst";"score"
25.72;18.95;22.23;0.06;116.56;NA
16.34;11.64;20.62;0.06;116.56;NA
11.04;5.88;18.99;0.06;116.56;NA
8.75;2.66;20.09;0.02;119.68;NA
6.52;1.66;18.32;0.01;116.56;NA
5.14;1.52;16.43;0;116.56;NA
6.75;0.96;23.56;0;164.29;NA
4.9;0.25;17.25;0;127.56;NA
5.22;0.12;20.2;0;122.37;NA
5.2;0.11;20.72;0;183.53;NA
4.38;0.06;17.96;0;118.04;NA
4.71;0.05;17.84;0;116.56;NA
4.85;0.03;19.5;0;116.56;NA
4.61;0.02;18.75;0;123.68;NA
5.27;0.01;20.15;0;116.56;NA
4.52;0.01;18.75;0;116.56;NA
3.72;0;15.32;0;116.56;NA
5.27;0;21.44;0;180.14;NA
5.47;0;21.38;0;119.3;NA
4.85;0;19.7;0;124.66;NA
5.02;0;18.78;0;116.56;NA
4.73;0;19.53;0;116.56;NA
4.98;0;19.74;0;116.56;NA
3.91;0;15.69;0;116.56;NA
5.35;0;20.85;0;116.56;NA
5.2;0;20.38;0;116.56;NA
5.29;0;20.44;0;116.56;NA
4.34;0;19.47;0;183.76;NA
4.56;0;18.4;0;116.56;NA
5.05;0;19.64;0;116.56;NA
4.75;0;18.88;0;131.48;NA
5.62;0;21.52;0;124.99;NA
4.02;0;17.12;0;116.56;NA
5.28;0;19.99;0;152.88;NA
5.31;0;20.64;0;116.56;NA
4.12;0;17.32;0;116.56;NA
4.41;0;18.89;0;122.4;NA
4.87;0;18.89;0;116.56;NA
5.27;0;20.7;0;189.74;NA
4.86;0;19.69;0;172.76;NA
5.02;0;18.22;0;116.56;NA
4.97;0;19.24;0;119.01;NA
5.23;0;20.53;0;136.58;NA
4.38;0;17.83;0;116.56;NA
3.46;0;14.61;0;116.56;NA
4.11;0;17.64;0;128.33;NA
4.44;0;16.85;0;116.56;NA
4.83;0;18.54;0;116.56;NA
4.81;0;19.37;0;116.56;NA
5.65;0;21.01;0;119.43;NA
4.62;0;18.91;0;116.56;NA
5.02;0;19.9;0;116.56;NA
4.89;0;19.52;0;129.01;NA
4.66;0;18.81;0;116.56;NA
5.48;0;21.35;0;128.83;NA
6.12;0;22.7;0;124.33;NA
4.32;0;17.96;0;116.56;NA
5.24;0;21.3;0;172.86;NA
4.74;0;18.69;0;127.32;NA
4.69;0;18.81;0;116.56;NA
4.87;0;19.87;0;122.86;NA
5.55;0;20.81;0;116.56;NA
4.93;0;19.09;0;116.56;NA
4.28;0;16.99;0;116.56;NA
5.27;0;21.14;0;175.38;NA
4.3;0;17.42;0;122.05;NA
4.65;0;19.6;0;169.79;NA
6.03;0;23.09;0;126.65;NA
5.14;0;20.77;0;141.9;NA
4.65;0;18.69;0;116.56;NA
5.16;0;20.45;0;131.53;NA
4.54;0;18.24;0;126.65;NA
4.16;0;17.68;0;116.56;NA
4.82;0;18.93;0;116.56;NA
3.84;0;16.54;0;153.5;NA
4.49;0;19;0;139.89;NA
5.52;0;21.73;0;139.03;NA
4.27;0;16.65;0;116.56;NA
4.88;0;19.82;0;116.56;NA
5;0;20.2;0;155.93;NA
5.32;0;21.35;0;116.56;NA
5.01;0;19.61;0;171.03;NA
4.65;0;18.07;0;116.56;NA
6.78;0;23.79;0;162.24;NA
5.08;0;19.77;0;125.1;NA
4.31;0;17.16;0;116.56;NA
5.21;0;19.88;0;116.56;NA
5.02;0;19.54;0;116.56;NA
3.84;0;16.2;0;116.56;NA
4.24;0;17.37;0;116.56;NA
4.15;0;16.53;0;116.56;NA
4.2;0;18.56;0;185.73;NA
5.19;0;20.29;0;168.68;NA
5.57;0;21.38;0;116.56;NA
5.28;0;21.45;0;156.24;NA
5.7;0;22.09;0;126.65;NA
4.4;0;18.61;0;161.56;NA
4.2;0;18.06;0;166.75;NA
4.51;0;18.35;0;149.98;NA
5.09;0;19.76;0;116.56;NA
