"mean";"median";"sd";"best";"worst";"score"
25.4;20.35;22.25;0;116.56;NA
14.48;11.5;16.59;0;170.59;NA
11.03;5.12;19.36;0;116.56;NA
7.81;3.29;16.25;0;116.56;NA
7.4;2.1;19.02;0;116.56;NA
5.58;1.59;16.73;0;116.56;NA
6.64;1.42;21.68;0;116.56;NA
5.28;0.68;18.17;0;116.56;NA
6.13;0.3;22.29;0;116.56;NA
5.05;0.16;19.24;0;121.21;NA
4.82;0.13;19.3;0;125.49;NA
4.48;0.07;17.65;0;116.56;NA
5.93;0.04;22.22;0;116.56;NA
3.9;0.02;15.93;0;116.56;NA
5.01;0.02;19.46;0;116.56;NA
5.22;0.01;20.5;0;116.56;NA
3.62;0.01;15.49;0;116.56;NA
4.09;0.01;17.67;0;121.89;NA
4.12;0.01;17.61;0;116.56;NA
4.08;0.01;16.64;0;116.56;NA
6.67;0.01;24.66;0;169.1;NA
5.69;0;21.6;0;177.89;NA
4.58;0;18.7;0;116.56;NA
5.01;0;19.51;0;128.33;NA
4.77;0;20.02;0;119.01;NA
4.68;0;19.2;0;116.56;NA
4.72;0;18.96;0;123.02;NA
4.58;0;18.36;0;116.56;NA
4.35;0;17.69;0;116.56;NA
5.79;0;21.66;0;124;NA
4.37;0;18.19;0;116.56;NA
4.53;0;17.41;0;116.56;NA
6.12;0;22.17;0;140.53;NA
4.93;0;19.41;0;116.56;NA
4.15;0;16.65;0;116.56;NA
4.72;0;18.01;0;127.49;NA
5.14;0;19.69;0;127.32;NA
5.12;0;19.82;0;116.56;NA
3.99;0;16.81;0;116.56;NA
5.04;0;19.75;0;116.56;NA
4.49;0;18.77;0;161.25;NA
4.51;0;17.88;0;116.56;NA
4.11;0;16.9;0;116.56;NA
5.62;0;20.8;0;116.56;NA
4.88;0;18.91;0;116.56;NA
3.91;0;17.47;0;182.81;NA
4.78;0;18.75;0;127.32;NA
4.54;0;18.1;0;116.56;NA
5.29;0;20.27;0;116.56;NA
5.78;0;22.61;0;226.27;NA
3.99;0;16.53;0;116.56;NA
5.59;0;21.46;0;139.56;NA
4.79;0;20.12;0;117.43;NA
4.42;0;17.4;0;119.32;NA
4.62;0;18.96;0;128.16;NA
5.6;0;21;0;130.16;NA
4.29;0;17.5;0;116.56;NA
4.05;0;17.18;0;119.64;NA
4.54;0;17.72;0;116.56;NA
5.18;0;19.94;0;116.56;NA
4.62;0;17.83;0;116.56;NA
5.2;0;20.45;0;126.87;NA
4.99;0;20.46;0;125.9;NA
4.69;0;18.53;0;116.56;NA
4.82;0;19.35;0;116.56;NA
4.79;0;19.8;0;129.34;NA
5.32;0;20.75;0;116.56;NA
5.08;0;19.1;0;118.37;NA
5.64;0;21.27;0;143.35;NA
5.07;0;19.99;0;116.56;NA
4.73;0;18.72;0;202.82;NA
4.15;0;18.04;0;116.56;NA
3.79;0;16.65;0;116.56;NA
4.95;0;20.03;0;135.17;NA
4.78;0;19.43;0;141.55;NA
5.46;0;20.78;0;148.14;NA
4.4;0;17.45;0;149.15;NA
4.67;0;19.1;0;116.56;NA
4;0;17.63;0;116.56;NA
4.99;0;19.64;0;120.12;NA
4.49;0;18.12;0;121.4;NA
4.73;0;19.29;0;116.56;NA
3.77;0;15.92;0;116.56;NA
4.02;0;16.51;0;116.56;NA
5.21;0;20.91;0;163.31;NA
4.82;0;19.49;0;116.96;NA
4.22;0;17.2;0;133.36;NA
4.34;0;17.48;0;116.56;NA
4.03;0;17.73;0;125.82;NA
5.43;0;21.16;0;116.56;NA
5.22;0;19.42;0;116.56;NA
4.36;0;17.24;0;116.56;NA
4.86;0;19.98;0;161.07;NA
5.08;0;20.42;0;167.42;NA
5.5;0;21.13;0;119.96;NA
6.19;0;22.79;0;116.56;NA
4.6;0;17.9;0;116.56;NA
4.14;0;16.18;0;116.56;NA
4.9;0;20.01;0;116.56;NA
4.83;0;19.83;0;146.13;NA
