"mean";"median";"sd";"best";"worst";"score"
26.62;19.95;25.27;0.04;177.47;NA
16.56;12.32;19.66;0.03;175.18;NA
11.66;7.16;18.04;0;116.56;NA
9.03;3.46;18.64;0;122.08;NA
8.25;2.14;22.21;0;116.56;NA
6.02;1.6;19.55;0;116.56;NA
5.39;1.17;17.59;0;116.56;NA
6.05;0.79;21.35;0;129.5;NA
4.66;0.54;16.7;0;116.56;NA
5.74;0.22;21.95;0;152.24;NA
4.21;0.1;16.4;0;116.56;NA
5.24;0.04;19.74;0;116.56;NA
4.28;0.02;17.48;0;116.56;NA
4.41;0.02;18.45;0;121.56;NA
5.02;0.01;19.61;0;116.56;NA
4.13;0;17.36;0;116.56;NA
4.76;0;18.66;0;116.56;NA
4.52;0;18.79;0;120.74;NA
5.16;0;20.71;0;116.56;NA
5.02;0;20.44;0;116.56;NA
3.4;0;15.09;0;116.56;NA
3.47;0;15.17;0;116.56;NA
4.5;0;19.79;0;125.82;NA
6.03;0;22.4;0;123.51;NA
5.31;0;20.79;0;118.06;NA
4.39;0;19.87;0;200.63;NA
4.74;0;18.87;0;117.2;NA
5.43;0;20.28;0;116.56;NA
4.35;0;17.13;0;126.65;NA
4.65;0;18.6;0;116.56;NA
4.46;0;17.81;0;116.56;NA
4.04;0;16.7;0;116.56;NA
4.03;0;16.37;0;116.56;NA
4.54;0;19.13;0;172.75;NA
5.62;0;21.35;0;124.33;NA
3.97;0;15.91;0;118.93;NA
5.7;0;22.37;0;116.82;NA
4.33;0;18;0;118.21;NA
4.92;0;19.93;0;145.42;NA
4.79;0;19.08;0;116.56;NA
4.93;0;20;0;116.56;NA
5.38;0;20.35;0;116.56;NA
5.62;0;22.27;0;128.21;NA
4.86;0;19.39;0;125.16;NA
4.31;0;17.53;0;116.56;NA
5.67;0;21;0;116.56;NA
5.48;0;21.23;0;116.56;NA
4.47;0;18.54;0;117.93;NA
5.19;0;20.43;0;116.95;NA
5.41;0;20.01;0;124.83;NA
4.86;0;19.23;0;116.56;NA
4.75;0;19.32;0;116.56;NA
4.97;0;19.93;0;136.43;NA
4.87;0;19.28;0;116.56;NA
4.63;0;19.08;0;162.28;NA
4.49;0;19.09;0;118.06;NA
4.07;0;17.42;0;116.56;NA
4.7;0;18.06;0;116.56;NA
5.22;0;20.91;0;195.23;NA
4.92;0;19.9;0;163.8;NA
4.95;0;20.15;0;164.05;NA
4.88;0;18.92;0;116.56;NA
5.23;0;20.33;0;124;NA
5.31;0;21.17;0;116.56;NA
4.46;0;18.21;0;116.56;NA
4.77;0;18.3;0;116.56;NA
5.21;0;21.55;0;216.29;NA
5.16;0;20.7;0;192.35;NA
5.33;0;21.02;0;116.56;NA
3.5;0;15.16;0;116.56;NA
4.75;0;19.41;0;138.04;NA
4.26;0;17.77;0;116.56;NA
4.17;0;16.64;0;116.56;NA
4.83;0;19.23;0;116.56;NA
4.32;0;17.49;0;116.56;NA
3.86;0;15.78;0;116.56;NA
4.53;0;18.68;0;121.83;NA
5.41;0;21.56;0;197.73;NA
4.83;0;19.28;0;116.56;NA
4.22;0;17.93;0;116.56;NA
5.28;0;20.61;0;151.6;NA
5.43;0;21.37;0;119.48;NA
5.5;0;20.79;0;119.48;NA
4.75;0;18.71;0;116.56;NA
5.53;0;21.22;0;122.64;NA
5.98;0;23.01;0;162.22;NA
5;0;20.4;0;116.56;NA
5.29;0;20.13;0;116.56;NA
4.49;0;17.8;0;116.56;NA
5.46;0;20.82;0;116.56;NA
3.74;0;15.73;0;116.56;NA
4.99;0;19.63;0;116.56;NA
5.41;0;21.08;0;116.56;NA
4.39;0;18.14;0;116.56;NA
5.24;0;20.78;0;116.56;NA
5.46;0;20.65;0;116.78;NA
4.75;0;19.02;0;116.56;NA
5.21;0;19.83;0;150.28;NA
5.37;0;20.55;0;116.56;NA
4.39;0;17.79;0;116.56;NA
